Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
CMS_001_RNA_A_S1_ksize_15	CMS002_053a_Rb_S7_L004_ksize_15	10221	50161	0.169272	0.0399833	2	0.000195676
CMS_001_RNA_A_S1_ksize_15	CMS_002_10a_Rb_S119_L004_ksize_15	6800	45085	0.131059	0.047165	12	0.00176471
CMS_001_RNA_A_S1_ksize_15	CMS_002_13a_Rb_S120_L004_ksize_15	7127	48994	0.126993	0.0480654	15	0.00210467
CMS_001_RNA_A_S1_ksize_15	CMS_002_16a_Rb_S121_L004_ksize_15	4213	49527	0.078396	0.0622036	30	0.00712082
CMS_001_RNA_A_S1_ksize_15	CMS_002_17a_Rb_S122_L004_ksize_15	4204	54922	0.0711024	0.0651347	32	0.0076118
CMS_001_RNA_A_S1_ksize_15	CMS_002_17b_Rb_S123_L004_ksize_15	4131	56047	0.0686463	0.0661946	32	0.00774631
CMS_001_RNA_A_S1_ksize_15	CMS_002_17c_Rb_S124_L004_ksize_15	4239	58366	0.0677102	0.0666093	34	0.00802076
CMS_001_RNA_A_S1_ksize_15	CMS_002_17d_Rb_S125_L004_ksize_15	4330	60554	0.0667345	0.067048	36	0.00831409
CMS_001_RNA_A_S1_ksize_15	CMS_002_17e_Rb_S126_L004_ksize_15	4268	50915	0.0773427	0.0626084	38	0.00890347
CMS_001_RNA_A_S1_ksize_15	CMS_002_18a_Rb_S128_L004_ksize_15	4237	52859	0.0742083	0.0638489	34	0.00802455
CMS_001_RNA_A_S1_ksize_15	CMS_002_18b_Rb_S129_L004_ksize_15	4300	56881	0.0702833	0.0654838	37	0.00860465
CMS_001_RNA_A_S1_ksize_15	CMS_002_19a_Rb_S130_L004_ksize_15	4221	54891	0.0714068	0.065006	35	0.00829187
CMS_001_RNA_A_S1_ksize_15	CMS_002_1a_Rb_S116_L004_ksize_15	7184	49509	0.126718	0.0481276	16	0.00222717
CMS_001_RNA_A_S1_ksize_15	CMS_002_20a_Rb_S131_L004_ksize_15	4317	50557	0.0786711	0.0620988	32	0.00741256
CMS_001_RNA_A_S1_ksize_15	CMS_002_20b_Rb_S132_L004_ksize_15	4385	50937	0.0792632	0.0618746	32	0.00729761
CMS_001_RNA_A_S1_ksize_15	CMS_002_20c_Rb_S133_L004_ksize_15	4664	50340	0.0847938	0.0598637	34	0.00728988
CMS_001_RNA_A_S1_ksize_15	CMS_002_20d_Rb_S134_L004_ksize_15	4233	51885	0.0754303	0.0633587	28	0.00661469
CMS_001_RNA_A_S1_ksize_15	CMS_002_20e_Rb_S135_L004_ksize_15	4223	52081	0.0750035	0.0635289	28	0.00663036
CMS_001_RNA_A_S1_ksize_15	CMS_002_21a_Rb_S136_L004_ksize_15	4326	52739	0.0758083	0.0632088	33	0.00762829
CMS_001_RNA_A_S1_ksize_15	CMS_002_22a_Rb_S137_L004_ksize_15	7264	46521	0.135056	0.0463096	14	0.00192731
CMS_001_RNA_A_S1_ksize_15	CMS_002_23a_Rb_S138_L004_ksize_15	7022	46937	0.130136	0.0473667	14	0.00199373
CMS_001_RNA_A_S1_ksize_15	CMS_002_25a_Rb_S140_L004_ksize_15	3790	51733	0.06826	0.066365	31	0.00817942
CMS_001_RNA_A_S1_ksize_15	CMS_002_25b_Rb_S141_L004_ksize_15	4032	52442	0.0713957	0.0650107	32	0.00793651
CMS_001_RNA_A_S1_ksize_15	CMS_002_25c_Rb_S142_L004_ksize_15	4087	54686	0.0695387	0.0658049	34	0.00831906
CMS_001_RNA_A_S1_ksize_15	CMS_002_25d_Rb_S143_L004_ksize_15	4437	52349	0.0781355	0.0623031	33	0.00743746
CMS_001_RNA_A_S1_ksize_15	CMS_002_25e_Rb_S144_L004_ksize_15	4148	54271	0.0710043	0.0651763	33	0.00795564
CMS_001_RNA_A_S1_ksize_15	CMS_002_25f_Rb_S145_L004_ksize_15	3954	54472	0.0676754	0.0666248	31	0.00784016
CMS_001_RNA_A_S1_ksize_15	CMS_002_26a_Rb_S146_L004_ksize_15	4251	52291	0.075183	0.0634572	30	0.00705716
CMS_001_RNA_A_S1_ksize_15	CMS_002_26b_Rb_S147_L004_ksize_15	4285	51873	0.0763026	0.063014	32	0.00746791
CMS_001_RNA_A_S1_ksize_15	CMS_002_26c_Rb_S148_L004_ksize_15	4708	56022	0.0775235	0.0625385	49	0.0104078
CMS_001_RNA_A_S1_ksize_15	CMS_002_26d_Rb_S149_L004_ksize_15	4217	53363	0.0732372	0.0642446	41	0.00972255
CMS_001_RNA_A_S1_ksize_15	CMS_002_26e_Rb_S150_L004_ksize_15	4428	59204	0.0695876	0.0657837	35	0.00790425
CMS_001_RNA_A_S1_ksize_15	CMS_002_27a_Rb_S152_L004_ksize_15	6664	48315	0.12121	0.049403	10	0.0015006
CMS_001_RNA_A_S1_ksize_15	CMS_002_27b_Rb_S153_L004_ksize_15	7755	51649	0.130547	0.0472767	24	0.00309478
CMS_001_RNA_A_S1_ksize_15	CMS_002_28a_Rb_S154_L004_ksize_15	9171	40770	0.183637	0.0377497	3	0.000327118
CMS_001_RNA_A_S1_ksize_15	CMS_002_28b_Rb_S155_L004_ksize_15	9698	41638	0.188912	0.0369795	4	0.000412456
CMS_001_RNA_A_S1_ksize_15	CMS_002_28c_Rb_S156_L004_ksize_15	9898	42574	0.188634	0.0370195	5	0.000505153
CMS_001_RNA_A_S1_ksize_15	CMS_002_28d_Rb_S157_L004_ksize_15	9658	41699	0.188056	0.0371028	3	0.000310623
CMS_001_RNA_A_S1_ksize_15	CMS_002_28e_Rb_S158_L004_ksize_15	17797	35631	0.333102	0.0223763	31	0.00174187
CMS_001_RNA_A_S1_ksize_15	CMS_002_29a_Rb_S159_L004_ksize_15	7618	49804	0.132667	0.0468175	23	0.00301917
CMS_001_RNA_A_S1_ksize_15	CMS_002_29b_Rb_S160_L004_ksize_15	6926	47787	0.126588	0.0481569	16	0.00231014
CMS_001_RNA_A_S1_ksize_15	CMS_002_29c_Rb_S161_L004_ksize_15	7138	48211	0.128963	0.0476251	15	0.00210143
CMS_001_RNA_A_S1_ksize_15	CMS_002_29d_Rb_S162_L004_ksize_15	7409	51398	0.125988	0.0482929	17	0.00229451
CMS_001_RNA_A_S1_ksize_15	CMS_002_29e_Rb_S164_L004_ksize_15	6649	49146	0.119168	0.0498921	17	0.00255678
CMS_001_RNA_A_S1_ksize_15	CMS_002_31a_Rb_S165_L004_ksize_15	7767	54499	0.124739	0.0485786	32	0.00412
CMS_001_RNA_A_S1_ksize_15	CMS_002_32a_Rb_S166_L004_ksize_15	7231	52492	0.121076	0.0494349	22	0.00304246
CMS_001_RNA_A_S1_ksize_15	CMS_002_33a_Rb_S167_L004_ksize_15	7191	50533	0.124576	0.0486162	19	0.00264219
CMS_001_RNA_A_S1_ksize_15	CMS_002_34a_Rb_S168_L004_ksize_15	7176	48381	0.129165	0.0475806	15	0.0020903
CMS_001_RNA_A_S1_ksize_15	CMS_002_35a_Rb_S169_L004_ksize_15	7335	57956	0.112343	0.0515974	18	0.00245399
CMS_001_RNA_A_S1_ksize_15	CMS_002_36a_Rb_S170_L004_ksize_15	7106	50505	0.123345	0.0489012	18	0.00253307
CMS_001_RNA_A_S1_ksize_15	CMS_002_37a_Rb_S171_L004_ksize_15	7502	49477	0.131663	0.047034	18	0.00239936
CMS_001_RNA_A_S1_ksize_15	CMS_002_38a_Rb_S172_L004_ksize_15	9139	49966	0.154623	0.0424965	39	0.00426743
CMS_001_RNA_A_S1_ksize_15	CMS_002_39a_Rb_S173_L004_ksize_15	7127	49601	0.125635	0.0483735	17	0.0023853
CMS_001_RNA_A_S1_ksize_15	CMS_002_40a_Rb_S174_L004_ksize_15	7386	53897	0.120523	0.0495666	18	0.00243704
CMS_001_RNA_A_S1_ksize_15	CMS_002_41a_Rb_S176_L004_ksize_15	7621	51119	0.129741	0.0474534	34	0.00446136
CMS_001_RNA_A_S1_ksize_15	CMS_002_42a_Rb_S177_L004_ksize_15	6389	45879	0.122235	0.0491607	21	0.0032869
CMS_001_RNA_A_S1_ksize_15	CMS_002_44a_Rb_S178_L004_ksize_15	5975	51388	0.104161	0.0537985	39	0.0065272
CMS_001_RNA_A_S1_ksize_15	CMS_002_44b_Rb_S179_L004_ksize_15	4802	50359	0.0870543	0.0590822	33	0.00687214
CMS_001_RNA_A_S1_ksize_15	CMS_002_44c_Rb_S180_L004_ksize_15	4174	52028	0.0742678	0.0638248	31	0.00742693
CMS_001_RNA_A_S1_ksize_15	CMS_002_44d_Rb_S181_L004_ksize_15	5868	54434	0.0973102	0.0557925	41	0.00698705
CMS_001_RNA_A_S1_ksize_15	CMS_002_44e_Rb_S182_L004_ksize_15	5666	51278	0.0995013	0.0551385	37	0.00653018
