NewIDseqName,visual_genus,visual_species,ska_genus,ska_species,CMS002_053a_Rb_S7_L004,CMS_001_RNA_A_S1,CMS_002_10a_Rb_S119_L004,CMS_002_13a_Rb_S120_L004,CMS_002_16a_Rb_S121_L004,CMS_002_17a_Rb_S122_L004,CMS_002_17b_Rb_S123_L004,CMS_002_17c_Rb_S124_L004,CMS_002_17d_Rb_S125_L004,CMS_002_17e_Rb_S126_L004,CMS_002_18a_Rb_S128_L004,CMS_002_18b_Rb_S129_L004,CMS_002_19a_Rb_S130_L004,CMS_002_1a_Rb_S116_L004,CMS_002_20a_Rb_S131_L004,CMS_002_20b_Rb_S132_L004,CMS_002_20c_Rb_S133_L004,CMS_002_20d_Rb_S134_L004,CMS_002_20e_Rb_S135_L004,CMS_002_21a_Rb_S136_L004,CMS_002_22a_Rb_S137_L004,CMS_002_23a_Rb_S138_L004,CMS_002_25a_Rb_S140_L004,CMS_002_25b_Rb_S141_L004,CMS_002_25c_Rb_S142_L004,CMS_002_25d_Rb_S143_L004,CMS_002_25e_Rb_S144_L004,CMS_002_25f_Rb_S145_L004,CMS_002_26a_Rb_S146_L004,CMS_002_26b_Rb_S147_L004,CMS_002_26c_Rb_S148_L004,CMS_002_26d_Rb_S149_L004,CMS_002_26e_Rb_S150_L004,CMS_002_27a_Rb_S152_L004,CMS_002_27b_Rb_S153_L004,CMS_002_28a_Rb_S154_L004,CMS_002_28b_Rb_S155_L004,CMS_002_28c_Rb_S156_L004,CMS_002_28d_Rb_S157_L004,CMS_002_28e_Rb_S158_L004,CMS_002_29a_Rb_S159_L004,CMS_002_29b_Rb_S160_L004,CMS_002_29c_Rb_S161_L004,CMS_002_29d_Rb_S162_L004,CMS_002_29e_Rb_S164_L004,CMS_002_31a_Rb_S165_L004,CMS_002_32a_Rb_S166_L004,CMS_002_33a_Rb_S167_L004,CMS_002_34a_Rb_S168_L004,CMS_002_35a_Rb_S169_L004,CMS_002_36a_Rb_S170_L004,CMS_002_37a_Rb_S171_L004,CMS_002_38a_Rb_S172_L004,CMS_002_39a_Rb_S173_L004,CMS_002_40a_Rb_S174_L004,CMS_002_41a_Rb_S176_L004,CMS_002_42a_Rb_S177_L004,CMS_002_44a_Rb_S178_L004,CMS_002_44b_Rb_S179_L004,CMS_002_44c_Rb_S180_L004,CMS_002_44d_Rb_S181_L004,CMS_002_44e_Rb_S182_L004,CMS_002_45a_Rb_S183_L004,CMS_002_45b_Rb_S184_L004,CMS_002_45c_Rb_S185_L004,CMS_002_45d_Rb_S186_L004,CMS_002_45e_Rb_S188_L004,CMS_002_45f_Rb_S189_L004,CMS_002_45g_Rb_S190_L004,CMS_002_46a_Rb_S191_L004,CMS_002_46b_Rb_S192_L004,CMS_002_47a_Rb_S193_L004,CMS_002_47b_Rb_S194_L004,CMS_002_47c_Rb_S195_L004,CMS_002_47d_Rb_S196_L004,CMS_002_47e_Rb_S197_L004,CMS_002_47f_Rb_S198_L004,CMS_002_47g_Rb_S200_L004,CMS_002_47h_Rb_S1_L004,CMS_002_47i_Rb_S2_L004,CMS_002_47j_Rb_S3_L004,CMS_002_49a_Rb_S4_L004,CMS_002_4a_Rb_S117_L004,CMS_002_50a_Rb_S5_L004,CMS_002_51a_Rb_S6_L004,CMS_002_54a_Rb_S8_L004,CMS_002_56a_Rb_S9_L004,CMS_002_57a_Rb_S10_L004,CMS_002_7a_Rb_S118_L004,CMS_002_RNA_A_S1,CMS_003_RNA_A_S2,CMS_004_RNA_A_S2,CMS_005_RNA_A_S3,CMS_006_RNA_A_S5,CMS_007_RNA_A_S12,CMS_008_RNA_A_S3,CMS_009_RNA_A_S13,CMS_010_RNA_A_S1,CMS_011_RNA_A_S4,CMS_012_RNA_A_S4,CMS_013_RNA_A_S5,CMS_014_RNA_A_S5,CMS_015_RNA_A_S13,CMS_016_RNA_A_S6,CMS_017_RNA_A_S6,CMS_018_RNA_A_S14,CMS_019_RNA_A_S14,CMS_020_RNA_A_S15,CMS_021_RNA_A_S16,CMS_022_RNA_A_S6,CMS_023_RNA_A_S17,CMS_024_RNA_A_S15,CMS_025_RNA_A_S7,CMS_026_RNA_A_S18,CMS_027_RNA_A_S16,CMS_028_RNA_A_S17,CMS_029_RNA_A_S18,CMS_030_RNA_A_S7,CMS_031_RNA_A_S19,CMS_032_RNA_A_S7,CMS_033_RNA_A_S8,CMS_034_RNA_A_S19,CMS_035_RNA_A_S20,CMS_036_RNA_A_S20,CMS_037_RNA_A_S21,CMS_038_RNA_A_S22,CMS_039_RNA_A_S9,CMS_040_RNA_A_S21,CMS_041_RNA_A_S10,CMS_042_RNA_A_S23,CMS_043_RNA_A_S24,CMS_044_RNA_A_S25,CMS_045_RNA_A_S2,CMS_046_RNA_A_S3,CMS_047_RNA_A_S4,CMS_048_RNA_A_S5,CMS_049_RNA_A_S6,CMS_050_RNA_A_S23,CMS_051_RNA_A_S8,CMS_052_RNA_A_S7,CMS_053_RNA_A_S8,CMS_054_RNA_A_S11,CMS_055_RNA_A_S9,CMS_056_RNA_A_S10,CMS_057_RNA_A_S11,CMS_058_RNA_A_S9,CMS_059_RNA_A_S10,CMS_060_RNA_A_S12
CMS002_053a_Rb_S7_L004,Culex,pipiens,Culex,erythrothorax,0.0,0.000195676,0.00170305,0.00165613,0.00680272,0.00699301,0.00715696,0.00704556,0.00716403,0.00699469,0.00722369,0.00700822,0.00691629,0.00204559,0.00712589,0.00720461,0.00686028,0.00607238,0.00677802,0.00752056,0.00188953,0.00194117,0.00771988,0.00716757,0.00788002,0.0067021,0.00676819,0.00724076,0.00585366,0.0059657,0.00555287,0.00605449,0.00583294,0.00123286,0.00209299,0.000223589,0.00041135300000000004,0.00031334900000000004,0.000320102,0.000206548,0.00327589,0.00223447,0.00257954,0.00294448,0.00235849,0.00232964,0.00341348,0.00232254,0.00208706,0.00259217,0.00266825,0.00255283,0.0025059,0.00248067,0.00246163,0.00263158,0.00326158,0.00633236,0.00646372,0.00702519,0.00628492,0.00608011,0.00629224,0.00563864,0.00607399,0.00563173,0.00622126,0.00593855,0.00544712,0.00166717,0.00211066,0.000407955,0.0,0.000324675,0.0005438330000000001,0.00022366400000000002,0.00044145199999999995,0.000220119,0.000210526,0.000216732,0.00032209599999999996,0.00238735,0.00167428,0.00195842,0.00181351,0.00158061,0.00221697,0.00189366,0.00739744,0.0024864,0.007109000000000001,0.00203411,0.00706402,0.00010482200000000001,0.0,0.00659824,0.00639659,0.0,0.0,0.00644015,0.00023837900000000002,0.00691443,0.00011614399999999999,0.00712854,0.0,0.0,0.00044792800000000005,0.00022768700000000002,0.000332926,0.0,0.0,0.0,0.00645624,0.00608757,0.00248403,0.00241779,0.00179007,0.00173085,0.0025558000000000004,0.00245324,0.00295989,0.00278879,0.0,0.00338883,0.0,0.00244088,0.00233936,0.00178476,0.00170728,0.0024506,0.00228973,0.00155844,0.00022172900000000002,0.00230911,0.0,0.0,0.00032591,0.000129988,0.00258856,0.0,0.000120424,0.00208067,0.0,0.0,0.000118036,0.0,0.00207154,0.0066437
CMS001_001_Ra_S1,Culex,erythrothorax,Culex,erythrothorax,0.000195676,0.0,0.00176471,0.00210467,0.00712082,0.007611799999999999,0.00774631,0.00802076,0.00831409,0.00890347,0.00802455,0.00860465,0.00829187,0.00222717,0.00741256,0.00729761,0.00728988,0.00661469,0.00663036,0.00762829,0.00192731,0.00199373,0.00817942,0.00793651,0.00831906,0.00743746,0.00795564,0.00784016,0.00705716,0.00746791,0.010407799999999998,0.00972255,0.00790425,0.0015006,0.00309478,0.000327118,0.000412456,0.000505153,0.000310623,0.00174187,0.00301917,0.00231014,0.00210143,0.00229451,0.00255678,0.00412,0.00304246,0.00264219,0.0020903000000000002,0.00245399,0.00253307,0.00239936,0.00426743,0.0023853000000000004,0.00243704,0.00446136,0.0032869,0.0065271999999999995,0.00687214,0.00742693,0.00698705,0.00653018,0.00768883,0.00773694,0.00692713,0.00632603,0.00728745,0.00649857,0.00598007,0.00205822,0.00228474,0.000521812,0.0,0.00030674799999999997,0.00021645,0.00032397400000000004,0.00043426300000000005,0.000311332,0.000312305,0.00021431599999999999,0.000216708,0.00231314,0.0018797,0.00205339,0.00235988,0.00190311,0.00209176,0.00250104,0.00738168,0.00242571,0.00675076,0.00234742,0.00745537,0.0,0.0,0.00736167,0.00785458,0.0,0.00093617,0.00684664,0.000111421,0.00678295,0.000115996,0.00694712,0.0,0.00115643,0.00010946899999999999,0.00113016,0.0,0.00263132,0.000214041,0.00012327399999999999,0.00650558,0.00717905,0.00311332,0.00268513,0.00298041,0.00184332,0.00310078,0.00305404,0.00288066,0.00260881,0.00358574,0.00294365,0.00105686,0.00297804,0.002215,0.00192442,0.0022941999999999997,0.00215146,0.00287169,0.00185591,0.00039852,0.00266951,0.00170078,0.00021376700000000002,0.000539423,0.000478881,0.00213514,0.0,0.000114639,0.00257771,0.00024245400000000002,0.0,0.00029221,0.000527565,0.00327485,0.00686716
CMS002_010a_Rb_S119_L004,Culex,quinquefasciatus,Culex,quinquefasciatus,0.00170305,0.00176471,0.0,0.0,0.00652774,0.00650163,0.00715198,0.00736227,0.006367800000000001,0.00629089,0.00687623,0.00676183,0.00659564,0.0,0.00649351,0.00626355,0.00639507,0.00546584,0.00636787,0.00673077,0.00012149200000000001,0.000125094,0.00691946,0.00687285,0.00674624,0.00623651,0.00664282,0.0067726,0.00534387,0.0055355,0.00568047,0.00552903,0.00559571,0.0,0.00020414400000000002,0.00157431,0.00154416,0.00186018,0.00153752,0.0023663,0.00183374,0.00172036,0.00169832,0.00165963,0.001823,0.00201114,0.00208167,0.00185185,0.00189424,0.00186422,0.0019154,0.00167072,0.00156055,0.00171848,0.00186712,0.00204499,0.00186726,0.00529194,0.00593146,0.00620347,0.005795000000000001,0.00551065,0.00536746,0.00567156,0.00577201,0.00556962,0.00585447,0.00569414,0.00499319,0.0,0.0,0.00200989,0.00169005,0.00173474,0.00176367,0.00157332,0.00155304,0.00190204,0.00155885,0.00171153,0.00178369,0.00095943,0.0,0.00085491,0.00104058,0.000787712,0.0016753,0.000866337,0.00663507,0.00178369,0.00660442,0.0007968130000000001,0.00637378,0.00160026,0.0014301,0.00669643,0.00657722,0.00163425,0.00172117,0.00609613,0.00177305,0.00618698,0.0016469000000000002,0.00586992,0.00164096,0.00134093,0.00163773,0.00163265,0.00157679,0.00150175,0.00161655,0.00143807,0.00666831,0.00584226,0.00165107,0.00204673,0.0009735739999999999,0.0006483680000000001,0.00159292,0.00174216,0.00203443,0.00186625,0.00129318,0.00190325,0.00180476,0.00174271,0.00176707,0.00129438,0.000767291,0.00173721,0.00173913,0.0007260410000000001,0.00224755,0.00175803,0.00220488,0.00194868,0.00171714,0.00182415,0.00179748,0.00166223,0.00179592,0.00102145,0.00161447,0.0015005,0.00196239,0.00167888,0.000718612,0.00604534
CMS002_013a_Rb_S120_L004,Culex,quinquefasciatus,Culex,quinquefasciatus,0.00165613,0.00210467,0.0,0.0,0.00640394,0.00644699,0.00642704,0.00590104,0.00653911,0.00675839,0.00627262,0.00630631,0.00661157,0.000168364,0.00700145,0.006271100000000001,0.00636642,0.00584647,0.00648571,0.00731886,0.00010927799999999999,0.00042238599999999996,0.00637724,0.00626014,0.00703694,0.00563014,0.00672542,0.00667865,0.0050030000000000005,0.00495152,0.00565771,0.00564972,0.00512416,0.0,0.000407498,0.00166289,0.00164057,0.00209268,0.00175362,0.00240421,0.00216294,0.00208488,0.00193712,0.00202957,0.00220718,0.00235229,0.00228278,0.00186007,0.00205008,0.00253469,0.0018385,0.00199715,0.00192024,0.00202781,0.00181945,0.00240691,0.00182633,0.00529462,0.00556931,0.00637255,0.00536147,0.00509165,0.00527945,0.00524396,0.00539568,0.00538642,0.00547536,0.00531658,0.00503884,0.0,9.04895e-05,0.00207377,0.0018074999999999999,0.00177069,0.0019805,0.00183374,0.00176445,0.00224551,0.00162027,0.00196315,0.00178891,0.0009684060000000001,9.26183e-05,0.000686263,0.00109573,0.000687758,0.00179261,0.000735913,0.00733945,0.00208634,0.00714445,0.000669344,0.00671987,0.00168919,0.00141368,0.00723914,0.00660153,0.00156274,0.00181681,0.00587836,0.00198201,0.00633981,0.00162101,0.00635686,0.00206055,0.00145537,0.00174244,0.00171527,0.00165414,0.00146318,0.00157505,0.00143087,0.00692726,0.00612918,0.00163191,0.00210799,0.0007852380000000001,0.000617338,0.00153165,0.00211098,0.00224435,0.00191317,0.00127342,0.0020437999999999997,0.00178804,0.00199816,0.00201613,0.00127598,0.000697958,0.00195577,0.00197929,0.000922793,0.00232086,0.00197869,0.00235809,0.00284585,0.0016957,0.0019678,0.00205508,0.00181488,0.00176764,0.000768566,0.00158907,0.00163961,0.00219298,0.00202546,0.000786349,0.00645161
CMS002_016a_Rb_S121_L004,Aedes,aegypti,Aedes,aegypti,0.00680272,0.00712082,0.00652774,0.00640394,0.0,0.00011745399999999999,0.0,0.0,0.00023571,0.0006152330000000001,0.000352402,0.00049134,0.0,0.00707662,0.00731305,0.00676622,0.006765899999999999,0.00633505,0.00654359,0.00714615,0.00678623,0.00692384,0.00038925699999999995,0.000240993,0.00035194699999999997,0.000347866,0.00011443,0.000472144,0.00314622,0.00315877,0.00337325,0.00334616,0.00334952,0.00630676,0.00641658,0.00731954,0.00693756,0.00694617,0.00718711,0.00664043,0.00522193,0.005950899999999999,0.00561112,0.00580833,0.00600052,0.00581536,0.00617742,0.00590406,0.00630762,0.00611098,0.00609292,0.00586717,0.00533722,0.005850800000000001,0.005850800000000001,0.0061546000000000005,0.00609756,0.0,0.000380421,0.000240848,0.000232693,0.000508971,0.00321388,0.00256643,0.00324613,0.0035,0.00310162,0.00338259,0.0030303,0.00586224,0.00693069,0.00681929,0.00698925,0.007094,0.00700389,0.00705823,0.00731529,0.00723553,0.00675676,0.00731584,0.00718686,0.00705467,0.00595386,0.00671475,0.00651792,0.005820399999999999,0.00566363,0.00667161,0.0069867,0.00562804,0.00707965,0.00611933,0.00673474,0.00708323,0.00664636,0.00646552,0.00684932,0.00698216,0.00719068,0.00470898,0.00719055,0.00685372,0.00647668,0.00641309,0.00689655,0.00642839,0.0066718,0.00734908,0.00684411,0.00645161,0.00688424,0.00642279,0.007124200000000001,0.00672542,0.00561798,0.00508647,0.00589496,0.00678459,0.00587136,0.00577164,0.00615006,0.00603282,0.00620417,0.00602258,0.00644164,0.00600751,0.00573423,0.00636943,0.00593702,0.00590551,0.00589246,0.00616292,0.00733064,0.00600751,0.0064154,0.00691067,0.00653595,0.00672834,0.00599769,0.00654793,0.00644662,0.00628773,0.00716479,0.00693518,0.00690571,0.00687693,0.00650255,0.00655817
CMS002_017a_Rb_S122_L004,Aedes,aegypti,Aedes,aegypti,0.00699301,0.007611799999999999,0.00650163,0.00644699,0.00011745399999999999,0.0,0.00032167299999999997,0.00015805299999999999,8.00448e-05,0.00011326299999999999,0.0007920789999999999,0.00056397,0.0014842,0.00680768,0.00733945,0.00690312,0.00695535,0.00663507,0.00677728,0.007151100000000001,0.00647482,0.00680603,0.000129383,0.00011636,0.000549511,0.00033274199999999997,0.000529437,0.000325415,0.00341241,0.00344884,0.00360478,0.00334672,0.00440044,0.00601504,0.00643087,0.00758342,0.00712181,0.00661278,0.00716403,0.00671475,0.00541686,0.00620501,0.00584368,0.00586441,0.00642674,0.00615676,0.00655977,0.00622904,0.00661278,0.00639659,0.00638978,0.00654664,0.00571565,0.00620081,0.00626204,0.00643777,0.00616953,0.000226244,0.00025182599999999997,0.000226398,0.00021800700000000002,0.000249097,0.00399631,0.00289436,0.00371402,0.00392606,0.00373998,0.00346921,0.00390486,0.00604686,0.00707428,0.00664207,0.00713908,0.00736976,0.00693553,0.0071066,0.00738916,0.00702282,0.00711482,0.00682927,0.00734921,0.00723012,0.00602864,0.00673317,0.0064261000000000006,0.00576132,0.00599952,0.00688468,0.00774679,0.00557951,0.00665236,0.00613811,0.00688913,0.007453100000000001,0.00667966,0.00634101,0.00634196,0.00722954,0.00718533,0.00485437,0.00750323,0.00716242,0.0066718,0.00634573,0.00714286,0.00650195,0.00735294,0.00758964,0.00679758,0.00626632,0.00694981,0.00679502,0.00657123,0.00691244,0.00560695,0.00518807,0.00568643,0.00694278,0.00641883,0.00575576,0.00645161,0.00615006,0.00619369,0.00585794,0.00649688,0.0060423000000000004,0.00578325,0.00631277,0.00595084,0.00594059,0.00598504,0.006228,0.00757767,0.00604686,0.00669165,0.00730308,0.00693584,0.00686892,0.00647549,0.00656685,0.00637267,0.00673924,0.00742068,0.00687649,0.00691673,0.00718219,0.0067082999999999995,0.00655181
CMS002_017b_Rb_S123_L004,Aedes,aegypti,Aedes,aegypti,0.00715696,0.00774631,0.00715198,0.00642704,0.0,0.00032167299999999997,0.0,0.000302435,0.000460794,0.000232207,0.00048220699999999996,0.000312476,0.00177605,0.00665845,0.00716101,0.00689655,0.00675518,0.0062201,0.006836399999999999,0.00726506,0.00662414,0.00686106,0.000123153,0.000110193,0.00022150799999999998,0.00021173,0.0001048,0.000109709,0.00337729,0.00322581,0.00337133,0.00336644,0.00361011,0.00645661,0.00674326,0.00719979,0.00742574,0.00720139,0.00725726,0.00702282,0.00581255,0.00633553,0.00628773,0.00632296,0.00638896,0.00624711,0.00658979,0.00650132,0.00665874,0.006595999999999999,0.00607903,0.00707881,0.00607681,0.00662565,0.00658204,0.00636042,0.00607341,0.00011061899999999999,0.00011855399999999999,0.00011392100000000001,0.00021537799999999998,0.000360101,0.00376412,0.0026916,0.00337778,0.00388538,0.00346981,0.00321707,0.00353595,0.00606367,0.00686499,0.00673317,0.00676014,0.00734921,0.00721278,0.00721464,0.00717644,0.00731215,0.00719782,0.007003499999999999,0.00704403,0.00691358,0.00642508,0.00675845,0.0069808000000000005,0.00584633,0.00616438,0.00688468,0.0072513000000000005,0.00590046,0.00707651,0.00622084,0.00660066,0.0077101,0.00660611,0.00650916,0.00658395,0.00724076,0.00762583,0.00519931,0.00776398,0.00747746,0.00681342,0.00644731,0.00710339,0.00645661,0.00706621,0.00732409,0.00708323,0.00652571,0.00688424,0.00673779,0.0066762,0.00674732,0.00596591,0.00510074,0.00628244,0.00758132,0.00640683,0.00610998,0.00702635,0.00670807,0.00616074,0.00641975,0.00699663,0.00632911,0.0060423000000000004,0.00621293,0.00596009,0.00633072,0.00577889,0.0061008,0.00728686,0.00635809,0.00680087,0.00729927,0.00700701,0.00683371,0.00642551,0.00671682,0.00654965,0.00649182,0.00760357,0.00727371,0.00701187,0.00755729,0.00705882,0.00633528
CMS002_017c_Rb_S124_L004,Aedes,aegypti,Aedes,aegypti,0.00704556,0.00802076,0.00736227,0.00590104,0.0,0.00015805299999999999,0.000302435,0.0,0.00015271799999999998,0.000357654,0.000643205,0.000596748,0.00165659,0.00685938,0.00709382,0.00680272,0.00706633,0.00618312,0.00662252,0.00796813,0.00700145,0.00753341,0.00012608700000000001,0.000109806,0.000113675,0.000104373,0.00041806,0.00022439099999999997,0.0031746,0.00323226,0.00302618,0.003367,0.00324309,0.00636132,0.00667986,0.00748967,0.00765621,0.00730105,0.00761858,0.00697732,0.00638751,0.00663943,0.00675676,0.00676655,0.00671141,0.00640889,0.00677966,0.00675204,0.0072093,0.00679527,0.00594872,0.00745399,0.0063981,0.00652859,0.00622184,0.00696561,0.00620448,0.00011556700000000001,0.00012187700000000001,0.000231321,0.00020829,0.00023488,0.00355927,0.00280187,0.00310661,0.00422999,0.00328947,0.00301971,0.00333834,0.00629247,0.00760456,0.00729572,0.0066461,0.00742023,0.00700175,0.00781047,0.0070593999999999995,0.00785805,0.00720115,0.00700525,0.00704396,0.00766834,0.00650651,0.00684237,0.00702459,0.00580271,0.00657197,0.00765054,0.00790861,0.00616491,0.0075643,0.00621279,0.00721868,0.00769428,0.00721421,0.00704054,0.00690008,0.00775595,0.00756239,0.00582597,0.00753834,0.00747225,0.00674274,0.00700066,0.00716751,0.00691421,0.0073723,0.00730117,0.007094,0.00682415,0.00695339,0.00677966,0.00720595,0.00718091,0.00592384,0.00532995,0.00594916,0.00809022,0.00687285,0.00630994,0.00749064,0.00735114,0.00616419,0.00660793,0.00724263,0.0068113,0.00613497,0.006607300000000001,0.00667522,0.00607134,0.00635852,0.0064154,0.0071576999999999995,0.00611465,0.00653239,0.00721649,0.00693584,0.006859100000000001,0.00695088,0.00695745,0.00684031,0.00689303,0.00784519,0.00734294,0.00697612,0.007459100000000001,0.00797812,0.00671463
CMS002_017d_Rb_S125_L004,Aedes,aegypti,Aedes,aegypti,0.00716403,0.00831409,0.006367800000000001,0.00653911,0.00023571,8.00448e-05,0.000460794,0.00015271799999999998,0.0,0.0,0.0007121060000000001,0.000456586,0.00160162,0.00728277,0.00759013,0.00716332,0.00725825,0.00651073,0.00665874,0.00695572,0.00633683,0.00679416,0.000126358,0.0001167,0.00011222100000000001,0.000225861,0.00021937,0.00023044099999999998,0.00307792,0.00308792,0.00302644,0.00320946,0.00328484,0.00594776,0.00613196,0.00723888,0.00727912,0.00699475,0.00733806,0.00677541,0.00674732,0.00653595,0.00649351,0.00659341,0.00653595,0.00662252,0.00826837,0.00684429,0.00734214,0.00686228,0.00664925,0.00784593,0.00668049,0.00681597,0.00668577,0.00685579,0.00662603,0.00021692,0.000253197,0.00035608300000000004,0.00022558099999999998,0.00037471900000000003,0.00316506,0.00258695,0.00364232,0.00375633,0.00359906,0.00337667,0.00343171,0.00595084,0.00702106,0.00677541,0.00697314,0.00737913,0.00683891,0.00725953,0.00748316,0.00727364,0.00723012,0.00691244,0.00736227,0.00675507,0.00671314,0.00634357,0.00659229,0.005887300000000001,0.00688673,0.00677201,0.007351300000000001,0.00566281,0.00749229,0.00619515,0.00751547,0.00765111,0.00674726,0.00654387,0.00711382,0.00746845,0.00758725,0.00554387,0.00749741,0.00798619,0.00658588,0.00687972,0.00713908,0.00679758,0.00704777,0.00708104,0.00718501,0.00661201,0.00675325,0.00737589,0.00639356,0.007133,0.0059812,0.005437600000000001,0.00598639,0.00744971,0.00646378,0.006,0.00700701,0.00750375,0.00657707,0.00650488,0.00669585,0.00591716,0.00587184,0.00640466,0.00627451,0.00626252,0.00625469,0.00570342,0.00734934,0.00611845,0.00679902,0.00733945,0.00678392,0.00749712,0.00664767,0.0069241,0.00679561,0.00618876,0.00733753,0.00722698,0.00816743,0.00759915,0.00691085,0.0065312
CMS002_017e_Rb_S126_L004,Aedes,aegypti,Aedes,aegypti,0.00699469,0.00890347,0.00629089,0.00675839,0.0006152330000000001,0.00011326299999999999,0.000232207,0.000357654,0.0,0.0,0.0,0.00023025599999999997,0.000351165,0.00652647,0.00791434,0.007554300000000001,0.0078125,0.00686228,0.00719258,0.00743494,0.00631681,0.00656455,0.000132065,0.000619118,0.00035071300000000006,0.000710985,0.000339328,0.000590249,0.00344658,0.00362558,0.00458265,0.00378414,0.00368413,0.00603318,0.00667986,0.00684584,0.00719603,0.00684764,0.00714638,0.00828258,0.00519481,0.00575576,0.00542005,0.00594813,0.00574263,0.00734249,0.00613648,0.00580973,0.00635231,0.00582807,0.00599101,0.00606202,0.00578592,0.00604303,0.00586081,0.00789096,0.00589181,0.000606281,0.00066454,0.00061297,0.000116225,0.000790722,0.00358367,0.0026643,0.00340651,0.0037935000000000004,0.00326857,0.00338259,0.00339893,0.00648217,0.00726817,0.00662902,0.00696491,0.00725389,0.00695518,0.00715929,0.00681099,0.00726817,0.00728277,0.00671976,0.00687373,0.00730847,0.00601202,0.00653266,0.00644043,0.00605394,0.00577339,0.00685435,0.00685841,0.00537359,0.00714286,0.00613811,0.00679983,0.00717765,0.00696961,0.00687693,0.00735667,0.00704042,0.00723012,0.00455063,0.00769231,0.00773196,0.00696774,0.00682669,0.00693333,0.00674624,0.00702759,0.00706067,0.00650163,0.00655652,0.00670449,0.00652667,0.00682192,0.00718591,0.00592885,0.00647333,0.00573301,0.00720634,0.0061268,0.00575432,0.00651629,0.00622355,0.00621118,0.00588235,0.00697134,0.00627353,0.00555556,0.00659971,0.00643666,0.00581395,0.00552903,0.00645856,0.00894855,0.0058346000000000005,0.00838355,0.00732792,0.006940999999999999,0.00822695,0.00613208,0.00684571,0.00670276,0.00724076,0.0075188,0.00689838,0.00830522,0.0069262,0.00744879,0.00656455
