tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
42398,Vittaforma,"",2,-100,42398,27974,Eukaryota,0,12852.0,213.301,100.0,91.7218,121.681,57.4585381,0.0,2116910.0,11.17215,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
42399,Vittaforma corneae,"",1,42399,42398,27974,Eukaryota,0,12755.0,211.691,100.0,91.7073,121.53,57.3452263,0.0,2116910.0,11.08783,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
384078,Vittaforma sp. PLDH3,"",1,384078,42398,27974,Eukaryota,0,97.0,1.609,100.0,93.6299,141.608,72.3584747,0.0,16090.0,0.08432,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
144516,Microsporidium,"",2,-100,144516,-300,Eukaryota,0,10802.0,179.277,100.0,95.2958,135.734,72.3482971,0.0,868000.0,9.3901,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
1333714,Microsporidium sp. 3 NR-2013,"",1,1333714,144516,-300,Eukaryota,0,5230.0,86.8,100.0,94.7805,135.99,71.5396042,0.0,868000.0,4.5464,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
-100144516,Non-species-specific reads in genus Microsporidium,,1,-100144516,144516,-300,Eukaryota,0,2859.0,47.45,100.0,95.8815,139.379,75.6291885,0.0,474500.0,2.48531,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
698170,Microsporidium sp. BLAT7 TUB,"",1,698170,144516,-300,Eukaryota,0,1041.0,17.277,100.0,97.4313,146.358,82.8392944,0.0,172770.0,0.90493,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
326530,Microsporidium sp. CRANFA,"",1,326530,144516,-300,Eukaryota,0,588.0,9.758,100.0,94.3849,109.631,54.9178696,0.0,97579.99999999999,0.51114,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
1734473,Microsporidium sp. LVPEI.SMW V3S1-FR,"",1,1734473,144516,-300,Eukaryota,0,284.0,4.713,100.0,96.1905,135.588,73.48452,0.0,47130.0,0.24688,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
698065,Microsporidium sp. BALB3,"",1,698065,144516,-300,Eukaryota,0,242.0,4.016,100.0,95.7351,144.876,78.5388947,0.0,40160.0,0.21037,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
