sample	sci_name	group
CMS001_001_Ra_S1	root	Other
CMS001_002_Ra_S1	root	Other
CMS001_005_Ra_S3	root	Other
CMS001_006_Ra_S5	root	Other
CMS001_007_Ra_S12	root	Other
CMS001_008_Ra_S3	root	Other
CMS001_009_Ra_S13	root	Other
CMS001_011_Ra_S4	root	Other
CMS001_014_Ra_S5	root	Other
CMS001_016_Ra_S6	root	Other
CMS001_017_Ra_S6	root	Other
CMS001_018_Ra_S14	root	Other
CMS001_019_Ra_S14	root	Other
CMS001_023_Ra_S17	root	Other
CMS001_025_Ra_S7	root	Other
CMS001_026_Ra_S18	root	Other
CMS001_027_Ra_S16	root	Other
CMS001_031_Ra_S19	root	Other
CMS001_035_Ra_S20	root	Other
CMS001_038_Ra_S22	root	Other
CMS001_044_Ra_S25	root	Other
CMS001_046_Ra_S3	root	Other
CMS001_050_Ra_S23	root	Other
CMS001_051_Ra_S8	root	Other
CMS001_056_Ra_S10	root	Other
CMS001_057_Ra_S11	root	Other
CMS001_060_Ra_S12	root	Other
CMS001_water2_S24	root	Other
CMS001_water3_Qiagen_S26	root	Other
CMS001_water4_Zymo_S27	root	Other
CMS002_007a_Rb_S118_L004	root	Other
CMS002_020d_Rb_S134_L004	root	Other
CMS002_027b_Rb_S153_L004	root	Other
CMS002_028b_Rb_S155_L004	root	Other
CMS002_028e_Rb_S158_L004	root	Other
CMS002_029a_Rb_S159_L004	root	Other
CMS002_038a_Rb_S172_L004	root	Other
CMS002_047a_Rb_S193_L004	root	Other
CMS002_047c_Rb_S195_L004	root	Other
CMS002_047e_Rb_S197_L004	root	Other
CMS002_053a_Rb_S7_L004	root	Other
CMS002_0Water1_Rb_S127_L004	root	Other
CMS002_0Water2_Rb_S139_L004	root	Other
CMS002_0Water3_Rb_S151_L004	root	Other
CMS002_0Water4_Rb_S163_L004	root	Other
CMS002_0Water5_Rb_S175_L004	root	Other
CMS002_0Water7_Rb_S199_L004	root	Other
CMS001_001_Ra_S1	Bacteria	Bacteria
CMS001_006_Ra_S5	Bacteria	Bacteria
CMS001_009_Ra_S13	Bacteria	Bacteria
CMS001_011_Ra_S4	Bacteria	Bacteria
CMS001_013_Ra_S5	Bacteria	Bacteria
CMS001_018_Ra_S14	Bacteria	Bacteria
CMS001_026_Ra_S18	Bacteria	Bacteria
CMS001_028_Ra_S17	Bacteria	Bacteria
CMS001_030_Ra_S7	Bacteria	Bacteria
CMS001_038_Ra_S22	Bacteria	Bacteria
CMS001_046_Ra_S3	Bacteria	Bacteria
CMS001_048_Ra_S5	Bacteria	Bacteria
CMS001_049_Ra_S6	Bacteria	Bacteria
CMS001_053_Ra_S8	Bacteria	Bacteria
CMS001_056_Ra_S10	Bacteria	Bacteria
CMS001_057_Ra_S11	Bacteria	Bacteria
CMS001_058_Ra_S9	Bacteria	Bacteria
CMS001_water2_S24	Bacteria	Bacteria
