Specimen ID curated,Specimen ID,Genus,Species,Sex,Status,Site,Collection Date,Latitude,Longitude,Habitat
CMS002_035a,CMS002_035a,Culex,tarsalis,female,unfed,COAV,2017-11-07,33.539988,-116.078863,Agriculture
CMS002_036a,CMS002_036a,Culex,tarsalis,male,unfed,COAV,2017-11-07,33.539988,-116.078863,Agriculture
CMS002_037a,CMS002_037a,Culex,tarsalis,female,unfed,COAV,2017-11-07,33.463593,-116.074278,Agriculture
CMS002_038a,CMS002_038a,Culex,tarsalis,female,unfed,COAV,2017-11-07,33.52908,-116.035213,Agriculture
CMS002_042a,CMS002_042a,Culex,tarsalis,female,unfed,COAV,2017-11-07,33.525475,-115.956632,Agriculture
CMS002_053a,CMS002_053a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21,38.836781,-121.39119,Agriculture
CMS002_054a,CMS002_054a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21,38.772222,-121.4695,Agriculture
CMS001_004,CMS001_004,Culiseta,incidens,female,blood fed,ALCO,2017-09-12,37.7152,-122.19431,Industrial
CMS001_028,CMS001_028,Culex,pipiens,female,blood fed,ALCO,2017-09-12,37.7152,-122.19431,Industrial
CMS001_029,CMS001_029,Culex,pipiens,female,blood fed,ALCO,2017-09-13,37.68473,-121.91341,Industrial
CMS001_030,CMS001_030,Culex,tarsalis,female,blood fed,ALCO,2017-09-10,37.7152,-122.19431,Industrial
CMS001_059,CMS001_059,Culex,pipiens,female,blood fed,ALCO,2017-10-24,37.6683,-122.15915,Industrial
CMS002_010a,CMS002_010a,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15,32.7981529,-116.9544084,Industrial
CMS002_016a,CMS002_016a,Aedes,aegypti,female,unfed,SAND,2017-11-15,32.7152395,-117.1148424,Industrial
CMS002_018a,CMS002_018a,Aedes,aegypti,female,unfed,SAND,2018-11-28,32.6952215,-117.1221922,Industrial
CMS002_018b,CMS002_018b,Aedes,aegypti,female,unfed,SAND,2018-11-28,32.6952215,-117.1221922,Industrial
CMS002_023a,CMS002_023a,Culex,quinquefasciatus,female,unfed,SAND,2017-12-27,32.5928337,-117.0575668,Industrial
CMS002_049a,CMS002_049a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21,38.739939,-121.305636,Industrial
CMS002_051a,CMS002_051a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21,38.897572,-121.311747,Industrial
CMS001_001,CMS001_001,Culex,erythrothorax,female,blood fed,ALCO,2017-10-03,37.55697,-122.07938,Marsh/Wetland
CMS001_002,CMS001_002,Culiseta,particeps,female,blood fed,ALCO,2017-09-21,37.55697,-122.07938,Marsh/Wetland
CMS001_003,CMS001_003,Culex,pipiens,female,blood fed,ALCO,2017-09-19,37.55697,-122.07938,Marsh/Wetland
