Sequence ID,Specimen ID,Genus*,Species*,Sex**,Collection date,Trap type†,County††,Trap Latitude,Trap Longitude,Habitat Type‡,Population Type‡,Blood fed status**  ,"RNA concentration, ng/uL",Visual Genus,Visual Species
CMS001_001_Ra_S1,CMS001_001,Culex,erythrothorax,female,10/3/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,27.3,Culex,erythrothorax
CMS001_002_Ra_S1,CMS001_002,Culex,tarsalis,female,9/21/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,59.8,Culex,tarsalis
CMS001_003_Ra_S2,CMS001_003,Culiseta,particeps,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,88.9,Culiseta,particeps
CMS001_004_Ra_S2,CMS001_004,Culex,pipiens,female,9/12/17,EVS,ALCO,37.7152,-122.1943,Commercial/Industrial/Transportation,urban,blood fed,88.4,Culex,pipiens
CMS001_005_Ra_S3,CMS001_005,Culiseta,incidens,female,9/29/17,EVS,ALCO,37.7889,-122.2990,Residential,suburban,blood fed,240.7,Culiseta,incidens
CMS001_006_Ra_S5,CMS001_006,Culex,erythrothorax,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,32.5,Culex,erythrothorax
CMS001_007_Ra_S12,CMS001_007,Culex,erythrothorax,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,62,Culex,erythrothorax
CMS001_008_Ra_S3,CMS001_008,Culiseta,particeps,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,150,Culiseta,particeps
CMS001_009_Ra_S13,CMS001_009,Culiseta,particeps,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,93,Culiseta,particeps
CMS001_010_Ra_S1,CMS001_010,Culex,erythrothorax,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,14.7,Culex,erythrothorax
CMS001_011_Ra_S4,CMS001_011,Culex,erythrothorax,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,55,Culex,erythrothorax
CMS001_012_Ra_S4,CMS001_012,Aedes,dorsalis,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,86.1,Aedes,dorsalis
CMS001_013_Ra_S5,CMS001_013,Culex,erythrothorax,female,9/19/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,37.2,Culex,erythrothorax
CMS001_014_Ra_S5,CMS001_014,Culiseta,particeps,female,10/6/17,EVS,ALCO,37.5819,-122.0484,Marsh/Swamp,suburban,blood fed,65,Culiseta,incidens
CMS001_015_Ra_S13,CMS001_015,Culex,erythrothorax,female,9/27/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,63.2,Culex,erythrothorax
CMS001_016_Ra_S6,CMS001_016,Culiseta,inornata,female,10/6/17,EVS,ALCO,37.5819,-122.0485,Marsh/Swamp,suburban,blood fed,153.4,Culiseta,inornata
CMS001_017_Ra_S6,CMS001_017,Culex,erythrothorax,female,10/6/17,EVS,ALCO,37.5819,-122.0484,Marsh/Swamp,suburban,blood fed,73.9,Culex,erythrothorax
CMS001_018_Ra_S14,CMS001_018,Culex,erythrothorax,female,9/27/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,46.4,Culex,erythrothorax
CMS001_019_Ra_S14,CMS001_019,Culex,erythrothorax,female,10/4/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,59.4,Culex,erythrothorax
CMS001_020_Ra_S15,CMS001_020,Culex,erythrothorax,female,10/6/17,EVS,ALCO,37.5819,-122.0485,Marsh/Swamp,suburban,blood fed,33.6,Culex,erythrothorax
CMS001_021_Ra_S16,CMS001_021,Culex,erythrothorax,female,10/6/17,EVS,ALCO,37.5819,-122.0484,Marsh/Swamp,suburban,blood fed,32.2,Culex,erythrothorax
CMS001_022_Ra_S6,CMS001_022,Culex,erythrothorax,female,9/27/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,27.4,Culex,erythrothorax
CMS001_023_Ra_S17,CMS001_023,Culex,erythrothorax,female,10/6/17,EVS,ALCO,37.5819,-122.0484,Marsh/Swamp,suburban,blood fed,98.8,Culex,erythrothorax
CMS001_024_Ra_S15,CMS001_024,Culex,erythrothorax,female,10/6/17,EVS,ALCO,37.5819,-122.0484,Marsh/Swamp,suburban,blood fed,3.1,Culex,erythrothorax
CMS001_025_Ra_S7,CMS001_025,Culiseta,particeps,female,9/21/17,EVS,ALCO,37.5570,-122.0794,Marsh/Swamp,suburban,blood fed,120,Culex,tarsalis
CMS001_026_Ra_S18,CMS001_026,Culiseta,incidens,female,9/19/17,EVS,ALCO,37.5095,-121.9311,Park/cemetary/golf course,suburban,blood fed,60.6,Culex,tarsalis
CMS001_027_Ra_S16,CMS001_027,Culex,tarsalis,female,9/12/17,EVS,ALCO,37.8665,-122.3105,Park/cemetary/golf course,urban,blood fed,49.1,Culex,tarsalis
CMS001_028_Ra_S17,CMS001_028,Culex,tarsalis,female,9/12/17,EVS,ALCO,37.7152,-122.1943,Commercial/Industrial/Transportation,urban,blood fed,96,Culex,tarsalis
CMS001_029_Ra_S18,CMS001_029,Culex,pipiens,female,9/13/17,EVS,ALCO,37.6847,-121.9134,Park/cemetary/golf course,suburban,blood fed,82,Culex,pipiens
CMS001_030_Ra_S7,CMS001_030,Culex,pipiens,female,9/10/17,EVS,ALCO,37.7152,-122.1943,Commercial/Industrial/Transportation,urban,blood fed,273,Culex,pipiens
