Specimen ID,Genus,Species,Sex,Status,Site,Collection Date,Latitude,Longitude,Habitat
CMS001_001_Ra_S1,Culex,erythrothorax,female,blood fed,ALCO,2017-10-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_002_Ra_S1,Culiseta,particeps,female,blood fed,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_003_Ra_S2,Culex,pipiens,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_004_Ra_S2,Culiseta,incidens,female,blood fed,ALCO,2017-09-12T00:00:00Z,37.7152,-122.19431000000002, Industrial (waste water treatment plant)
CMS001_005_Ra_S3,Culex,erythrothorax,female,blood fed,ALCO,2017-09-29T00:00:00Z,37.78886,-122.29903,Residential
CMS001_006_Ra_S5,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_007_Ra_S12,Culiseta,particeps,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_008_Ra_S3,Culiseta,particeps,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_009_Ra_S13,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_010_Ra_S1,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_011_Ra_S4,Aedes,dorsalis,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_012_Ra_S4,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_013_Ra_S5,Culiseta,incidens,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_014_Ra_S5,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
CMS001_015_Ra_S13,Culiseta,inornata,female,blood fed,ALCO,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_016_Ra_S6,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04846,Marsh
CMS001_017_Ra_S6,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
CMS001_018_Ra_S14,Culex,erythrothorax,female,blood fed,ALCO,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_019_Ra_S14,Culex,erythrothorax,female,blood fed,ALCO,2017-10-04T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_020_Ra_S15,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04846,Marsh
CMS001_021_Ra_S16,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
CMS001_022_Ra_S6,Culex,erythrothorax,female,blood fed,ALCO,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_023_Ra_S17,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
CMS001_024_Ra_S15,Culiseta,particeps,female,blood fed,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
CMS001_025_Ra_S7,Culiseta,incidens,female,blood fed,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_026_Ra_S18,Culex,tarsalis,female,blood fed,ALCO,2017-09-19T00:00:00Z,37.50953,-121.93113000000001,Park
CMS001_027_Ra_S16,Culex,tarsalis,female,blood fed,ALCO,2017-09-12T00:00:00Z,37.8665,-122.31051000000001,Park / Undeveloped
CMS001_028_Ra_S17,Culex,pipiens,female,blood fed,ALCO,2017-09-12T00:00:00Z,37.7152,-122.19431000000002, Industrial (waste water treatment plant)
CMS001_029_Ra_S18,Culex,pipiens,female,blood fed,ALCO,2017-09-13T00:00:00Z,37.68473,-121.91341000000001,Park / adjacent to  Industrial (waste water treatment plant)
CMS001_030_Ra_S7,Culex,tarsalis,female,blood fed,ALCO,2017-09-10T00:00:00Z,37.7152,-122.19431000000002, Industrial (waste water treatment plant)
CMS001_031_Ra_S19,Culex,tarsalis,female,blood fed,ALCO,2017-09-13T00:00:00Z,37.8063,-122.2573,Park
CMS001_032_Ra_S7,Culex,tarsalis,female,blood fed,ALCO,,37.66126,-122.13335,Golf Course
CMS001_033_Ra_S8,Culex,tarsalis,female,blood fed,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_034_Ra_S19,Culex,erythrothorax,female,blood fed,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_035_Ra_S20,Culex,tarsalis,female,blood fed,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_036_Ra_S20,Culex,erythrothorax,female,blood fed,ALCO,2017-09-11T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_037_Ra_S21,Culex,tarsalis,female,blood fed,ALCO,2017-08-18T00:00:00Z,,,
CMS001_038_Ra_S22,Culex,tarsalis,female,blood fed,ALCO,2017-08-24T00:00:00Z,37.583909999999996,-122.09238,Marsh
CMS001_039_Ra_S9,Culex,tarsalis,female,blood fed,ALCO,2017-08-24T00:00:00Z,37.583909999999996,-122.09238,Marsh
CMS001_040_Ra_S21,Culex,pipiens,female,blood fed,ALCO,2017-08-31T00:00:00Z,37.49949,-121.93378,Undeveloped
CMS001_041_Ra_S10,Culex,tarsalis,female,blood fed,ALCO,2017-08-31T00:00:00Z,37.49949,-121.93378,Undeveloped
CMS001_042_Ra_S23,Culex,tarsalis,female,blood fed,ALCO,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course
CMS001_043_Ra_S24,Culex,pipiens,female,blood fed,ALCO,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course
CMS001_044_Ra_S25,Culex,pipiens,female,blood fed,ALCO,2017-08-25T00:00:00Z,37.66126,-122.13335,Golf Course
CMS001_045_Ra_S2,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_046_Ra_S3,Culex,tarsalis,female,blood fed,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_047_Ra_S4,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_048_Ra_S5,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
CMS001_049_Ra_S6,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
