sample,total_reads,nonhost_reads,total_ercc_reads,compression_ratio,water,input_conc
CMS001_001_Ra_S1,26717044,687714,6104,1.31,FALSE,4375.973132372215
CMS001_002_Ra_S1,31503742,369628,3080,1.25,FALSE,10227.487662337662
CMS001_003_Ra_S2,27436684,279064,2214,2.06,FALSE,12391.359530261969
CMS001_004_Ra_S2,35584846,46660,2586,1.18,FALSE,13759.574632637277
CMS001_005_Ra_S3,36030436,414060,2862,2.07,FALSE,12588.250873515024
CMS001_006_Ra_S5,31771554,114312,6042,1.39,FALSE,5257.449851042701
CMS001_007_Ra_S12,20334238,55328,1314,1.08,FALSE,15474.06697108067
CMS001_008_Ra_S3,39977532,242172,1790,3.11,FALSE,22332.816759776535
CMS001_009_Ra_S13,62306790,813290,2678,2.28,FALSE,23265.165048543688
CMS001_010_Ra_S1,10956312,31874,5356,1.03,FALSE,2044.6146377893951
CMS001_011_Ra_S4,46367004,169722,3804,1.15,FALSE,12188.01261829653
CMS001_012_Ra_S4,29359278,183896,2540,1.48,FALSE,11557.770866141733
CMS001_013_Ra_S5,46803120,109460,10046,1.06,FALSE,4657.881146725064
CMS001_014_Ra_S5,30285576,189340,1926,2.39,FALSE,15723.598130841121
CMS001_015_Ra_S13,31961998,53908,2148,1.09,FALSE,14878.887337057728
CMS001_016_Ra_S6,26878040,314946,1760,1.95,FALSE,15270.613636363636
CMS001_017_Ra_S6,35183096,111950,3056,1.39,FALSE,11511.793193717278
CMS001_018_Ra_S14,18795122,65880,1206,1.07,FALSE,15583.678275290216
CMS001_019_Ra_S14,31633394,77522,1892,1.13,FALSE,16718.552854122623
CMS001_020_Ra_S15,31195308,396026,4426,1.14,FALSE,7047.194306371442
CMS001_021_Ra_S16,30799178,259392,4756,1.04,FALSE,6474.8574432296045
CMS001_022_Ra_S6,46009226,177872,9752,1.27,FALSE,4716.927194421657
CMS001_023_Ra_S17,29556020,67972,1872,1.09,FALSE,15787.472222222223
CMS001_024_Ra_S15,21483528,85546,2110,1.1,FALSE,10180.76682464455
CMS001_025_Ra_S7,38525702,272530,1794,3.27,FALSE,21473.7502787068
