ska_genus	ska_species	collected_by	sample	taxid	group	family	sci_name	reads	read_prop	poly_group	baltimore_group	genome_description	number_of_segments_conventional
Culiseta	particeps	SAND	CMS002_021a_Rb_S136_L004	1495666.0	Other Eukaryotes	Other eukaryotes	Melampsora sp. Mel P	14	1.9596288462965113e-05				
Culiseta	particeps	SAND	CMS002_020a_Rb_S131_L004	1437197.0	Other Eukaryotes	Other eukaryotes	Petrosaviidae	6	8.864632627462337e-06				
Culiseta	particeps	SAND	CMS002_021a_Rb_S136_L004	437599.0	Other Eukaryotes	Other eukaryotes	Melampsora sp. SAL 135	7	9.798144231482557e-06				
Culiseta	particeps	SAND	CMS002_021a_Rb_S136_L004	168172.0	Other Eukaryotes	Other eukaryotes	Puccinia striiformis f. sp. tritici	4	5.5989395608471755e-06				
Culiseta	particeps	SAND	CMS002_020c_Rb_S133_L004	147495.0	Other Eukaryotes	Other eukaryotes	Trematosphaeria heterospora	3	9.846654763155131e-06				
Culiseta	particeps	SAND	CMS002_020c_Rb_S133_L004	92860.0	Other Eukaryotes	Other eukaryotes	Pleosporales	3	9.846654763155131e-06				
Culiseta	particeps	SAND	CMS002_020b_Rb_S132_L004	88036.0	Other Eukaryotes	Other eukaryotes	Selaginella moellendorffii	6	2.4029219530949635e-05				
Culiseta	particeps	SAND	CMS002_020b_Rb_S132_L004	37990.0	Other Eukaryotes	Other eukaryotes	Xylariaceae	11	4.405356914007433e-05				
Culiseta	particeps	SAND	CMS002_021a_Rb_S136_L004	37990.0	Other Eukaryotes	Other eukaryotes	Xylariaceae	7	9.798144231482557e-06				
Culiseta	particeps	SAND	CMS002_020d_Rb_S134_L004	5498.0	Other Eukaryotes	Other eukaryotes	Cladosporium	6	4.2759407069555305e-05				
Culiseta	particeps	SAND	CMS002_020e_Rb_S135_L004	5322.0	Other Eukaryotes	Other eukaryotes	Pleurotus ostreatus	6	1.4665516238392855e-05				
Culiseta	particeps	SAND	CMS002_020c_Rb_S133_L004	5320.0	Other Eukaryotes	Other eukaryotes	Pleurotus	5	1.6411091271925218e-05				
Culiseta	particeps	SAND	CMS002_021a_Rb_S136_L004	5296.0	Other Eukaryotes	Other eukaryotes	Puccinia	5	6.99867445105897e-06				
Culiseta	particeps	SAND	CMS002_020d_Rb_S134_L004	5033.0	Other Eukaryotes	Other eukaryotes	Pseudomicrostroma juglandis	5	3.563283922462942e-05				
Culiseta	particeps	SAND	CMS002_021a_Rb_S136_L004	3688.0	Other Eukaryotes	Other eukaryotes	Salicaceae	5	6.99867445105897e-06				
Culiseta	particeps	SAND	CMS002_020e_Rb_S135_L004	3481.0	Other Eukaryotes	Other eukaryotes	Cannabaceae	6	1.4665516238392855e-05				
Culiseta	particeps	SAND	CMS002_020a_Rb_S131_L004	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	35	5.1710356993530296e-05				
Culiseta	particeps	SAND	CMS002_021a_Rb_S136_L004	2759.0	Other Eukaryotes	Other eukaryotes	Eukaryota	13	1.819655357275332e-05				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	1505670.0	Other Eukaryotes	Other eukaryotes	Puccinia cf. psidii AE-2014	4	2.9482001238244052e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	1437010.0	Metazoa	Other metazoa	Boreoeutheria	264	0.0014341278981334607				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	1437010.0	Metazoa	Other metazoa	Boreoeutheria	136	0.0005677264226556239				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	1437010.0	Metazoa	Other metazoa	Boreoeutheria	58	0.0003898321033458348				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	1437010.0	Metazoa	Other metazoa	Boreoeutheria	12	8.844600371473216e-05				
Culiseta	particeps	ALCO	CMS001_003_Ra_S2	1437010.0	Chordates	Other chordates	Boreoeutheria	264	0.0014341278981334607				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	1437010.0	Chordates	Other chordates	Boreoeutheria	136	0.0005677264226556239				
Culiseta	particeps	ALCO	CMS001_025_Ra_S7	1437010.0	Chordates	Other chordates	Boreoeutheria	58	0.0003898321033458348				
Culiseta	particeps	ALCO	CMS001_008_Ra_S3	1437010.0	Chordates	Other chordates	Boreoeutheria	12	8.844600371473216e-05				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	559295.0	Other Eukaryotes	Other eukaryotes	Lachancea thermotolerans CBS 6340	2537	0.010590602457921454				
Culiseta	particeps	ALCO	CMS001_009_Ra_S13	381046.0	Other Eukaryotes	Other eukaryotes	Lachancea thermotolerans	994	0.004149412236174191				
