,genus,species,corrected genus,corrected species
CMS_001_RNA_A_S1,Culex,erythrothorax,Culex,erythrothorax
CMS_002_10a_Rb_S119_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_13a_Rb_S120_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_16a_Rb_S121_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17a_Rb_S122_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17b_Rb_S123_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17c_Rb_S124_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17d_Rb_S125_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17e_Rb_S126_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_18a_Rb_S128_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_18b_Rb_S129_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_19a_Rb_S130_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_1a_Rb_S116_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_20a_Rb_S131_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20b_Rb_S132_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20c_Rb_S133_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20d_Rb_S134_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20e_Rb_S135_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_21a_Rb_S136_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_22a_Rb_S137_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_23a_Rb_S138_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_25a_Rb_S140_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25b_Rb_S141_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25c_Rb_S142_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25d_Rb_S143_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25e_Rb_S144_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25f_Rb_S145_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_26a_Rb_S146_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26b_Rb_S147_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26c_Rb_S148_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26d_Rb_S149_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26e_Rb_S150_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_27a_Rb_S152_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_27b_Rb_S153_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_28a_Rb_S154_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_28b_Rb_S155_L004,Culex,erythrothorax,Culex,erythrothorax
