,Specimen ID,Genus,Species,Collection Site,Collection Date,Latitude,Longitude,Habitat
0,CMS001_001_Ra_S1,Culex,erythrothorax,ALCO,2017-10-03T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
1,CMS001_002_Ra_S1,Culiseta,particeps,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
2,CMS001_003_Ra_S2,Culex,pipiens,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
3,CMS001_004_Ra_S2,Culiseta,incidens,ALCO,2017-09-12T00:00:00Z,37.7152,-122.19431000000002, Industrial (waste water treatment plant)
4,CMS001_005_Ra_S3,Culex,erythrothorax,ALCO,2017-09-29T00:00:00Z,37.78886,-122.29903,Residential
5,CMS001_006_Ra_S5,Culex,erythrothorax,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
6,CMS001_007_Ra_S12,Culiseta,particeps,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
7,CMS001_008_Ra_S3,Culiseta,particeps,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
8,CMS001_009_Ra_S13,Culex,erythrothorax,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
9,CMS001_010_Ra_S1,Culex,erythrothorax,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
10,CMS001_011_Ra_S4,Aedes,dorsalis,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
11,CMS001_012_Ra_S4,Culex,erythrothorax,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
12,CMS001_013_Ra_S5,Culiseta,incidens,ALCO,2017-09-19T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
13,CMS001_014_Ra_S5,Culex,erythrothorax,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
14,CMS001_015_Ra_S13,Culiseta,inornata,ALCO,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
15,CMS001_016_Ra_S6,Culex,erythrothorax,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04846,Marsh
16,CMS001_017_Ra_S6,Culex,erythrothorax,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
17,CMS001_018_Ra_S14,Culex,erythrothorax,ALCO,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
18,CMS001_019_Ra_S14,Culex,erythrothorax,ALCO,2017-10-04T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
19,CMS001_020_Ra_S15,Culex,erythrothorax,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04846,Marsh
20,CMS001_021_Ra_S16,Culex,erythrothorax,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
21,CMS001_022_Ra_S6,Culex,erythrothorax,ALCO,2017-09-27T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
22,CMS001_023_Ra_S17,Culex,erythrothorax,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
23,CMS001_024_Ra_S15,Culiseta,particeps,ALCO,2017-10-06T00:00:00Z,37.58191,-122.04838000000001,Marsh
24,CMS001_025_Ra_S7,Culiseta,incidens,ALCO,2017-09-21T00:00:00Z,37.55697,-122.07938,Marsh / Wildlife Refuge / Park
25,CMS001_026_Ra_S18,Culex,tarsalis,ALCO,2017-09-19T00:00:00Z,37.50953,-121.93113000000001,Park
26,CMS001_027_Ra_S16,Culex,tarsalis,ALCO,2017-09-12T00:00:00Z,37.8665,-122.31051000000001,Park / Undeveloped
