	genome 1399|Botourmia-like (Botourmia)	genome 1438|Botourmia-like (Botourmia)	genome 1479|Botourmia-like (Botourmia)	genome 3061|Botourmia-like (Botourmia)	genome 4269|Botourmia-like (Botourmia)	genome 9191|Botourmia-like (Botourmia)	RNA1 Hubei chryso-like virus 1 (Chryso)	RNA2 Hubei chryso-like virus 1 (Chryso)	RNA3 Hubei chryso-like virus 1 (Chryso)	RNA4 Hubei chryso-like virus 1 (Chryso)	RNA1 Keturi virus (Chryso)	RNA2 Keturi virus (Chryso)	RNA3 Keturi virus (Chryso)	RNA4 Keturi virus (Chryso)	L Culex mosquito virus 4 (Chu)	RNA2 Culex mosquito virus 4 (Chu)	genome Wuhan insect virus 33 (Dicistro)	genome Placeda virus (Flavi)	genome Culex flavivirus (Flavi)	genome Calbertado virus (Flavi)	genome 25|Ifla-like (Ifla)	genome Culex iflavi-like virus 4 (Ifla)	genome 24|Ifla-like (Ifla)	genome Culex iflavi-like virus 3 (Ifla)	genome Chimba virus (Levi)	genome 416|Levi-like (Levi)	RNA1 Culex-associated Luteo-like virus (Luteo)	RNA2 Culex-associated Luteo-like virus (Luteo)	genome 98|Luteo-like (Luteo)	RNA1 Culex narnavirus 1 (Narna)	RNA2 Culex narnavirus 1 (Narna)	genome 1249|Narna-like (Narna)	PB1 Usinis virus (Orthomyxo)	PB2 Usinis virus (Orthomyxo)	PA Usinis virus (Orthomyxo)	NP Usinis virus (Orthomyxo)	gp64 Usinis virus (Orthomyxo)	hypothetical Usinis virus (Orthomyxo)	hypothetical2 Usinis virus (Orthomyxo)	hypothetical3 Usinis virus (Orthomyxo)	PB1 Wuhan mosquito virus 6 (Orthomyxo)	PB2 Wuhan mosquito virus 6 (Orthomyxo)	PA Wuhan mosquito virus 6 (Orthomyxo)	NP Wuhan mosquito virus 6 (Orthomyxo)	gp64 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical Wuhan mosquito virus 6 (Orthomyxo)	hypothetical2 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical3 Wuhan mosquito virus 6 (Orthomyxo)	PB1 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PA Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	NP Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	gp64 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical3 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB1 Astopletus virus (Orthomyxo)	PB2 Astopletus virus (Orthomyxo)	PA Astopletus virus (Orthomyxo)	NP Astopletus virus (Orthomyxo)	gp64 Astopletus virus (Orthomyxo)	hypothetical Astopletus virus (Orthomyxo)	hypothetical2 Astopletus virus (Orthomyxo)	hypothetical3 Astopletus virus (Orthomyxo)	RNA1 Netjeret virus (Partiti)	RNA2 Netjeret virus (Partiti)	RNA1 Nefer virus (Partiti)	RNA2 Nefer virus (Partiti)	Chaq_RNA3 Nefer virus (Partiti)	RNA1 Nebet virus (Partiti)	RNA2 Nebet virus (Partiti)	L Culex bunyavirus 2 (Peribunya)	NP Culex bunyavirus 2 (Peribunya)	GP Culex bunyavirus 2 (Peribunya)	L 61|Peribunya-like (Peribunya)	NP 61|Peribunya-like (Peribunya)	GP 61|Peribunya-like (Peribunya)	L 6823|Peribunya-like (Peribunya)	L Barstukas virus (Phasma)	NP Barstukas virus (Phasma)	GP Barstukas virus (Phasma)	L 76|Phasma-like (Phasma)	NP 76|Phasma-like (Phasma)	GP 76|Phasma-like (Phasma)	L 63|Phenui-like (Phenui)	NP 63|Phenui-like (Phenui)	GP 63|Phenui-like (Phenui)	RNA2 296|Reo-like (Reo)	RNA1 296|Reo-like (Reo)	RNA3 296|Reo-like (Reo)	RNA4 296|Reo-like (Reo)	RNA5 296|Reo-like (Reo)	RNA6 296|Reo-like (Reo)	RNA7 296|Reo-like (Reo)	RNA8 296|Reo-like (Reo)	VP1 246|Reo-like (Reo)	RNA1 Lobuck virus (Reo)	RNA2 Lobuck virus (Reo)	RNA3 Lobuck virus (Reo)	RNA4 Lobuck virus (Reo)	RNA5 Lobuck virus (Reo)	RNA6 Lobuck virus (Reo)	RNA7 Lobuck virus (Reo)	RNA8 Lobuck virus (Reo)	RNA9 Lobuck virus (Reo)	RNA10 Lobuck virus (Reo)	genome Merida virus (Rhabdo)	genome 4|Rhabdo-like (Rhabdo)	genome 2|Rhabdo-like (Rhabdo)	genome 30|Rhabdo-like (Rhabdo)	RNA1 Marma virus (Solemo)	RNA2 Marma virus (Solemo)	RNA1 Culex mosquito virus 6 (Solemo)	RNA2 Culex mosquito virus 6 (Solemo)	RNA1 Guadeloupe mosquito virus (Solemo)	RNA2 Guadeloupe mosquito virus (Solemo)	RNA1 Wenzhou sobemo-like virus 4 (Solemo)	RNA2 Wenzhou sobemo-like virus 4 (Solemo)	RNA1 Kellev virus (Solemo)	RNA2 Kellev virus (Solemo)	genome Hubei mosquito virus 4 (Tombus)	genome 88|Tombus-like (Tombus)	RNA1 Erebo virus (Tombus)	RNA2 Erebo virus (Tombus)	genome 55|Toti-like (Toti)	genome 56|Toti-like (Toti)	genome 57|Toti-like (Toti)	genome 42|Toti-like (Toti)	genome 39|Toti-like (Toti)	RNA1 Aedes aegypti totivirus (Toti)	RNA2 Aedes aegypti totivirus (Toti)	genome 49|Toti-like (Toti)	RNA1 6512|Toti-like (Toti)	RNA2 6512|Toti-like (Toti)	genome 1715|Toti-like (Toti)	genome 19890|Toti-like (Toti)	genome 22872|Toti-like (Toti)	genome 2923|Toti-like (Toti)	genome 5308|Toti-like (Toti)	genome Totivirus-like Culex mosquito virus 1 (Toti)	genome Guadeloupe Culex tymo-like virus (Tymo)	genome Hubei virga-like virus 2 (Virga)	genome Culex pipiens-associated Tunisia virus (Virga)	genome Gordis virus (Xinmo)	genome Aedes anphevirus (Xinmo)
CMS002_053a_Rb_S7_L004	0.00012582021435189245	0.00018682395464371908	0.0003278951040685682	0.00019444942218019743	0.00013916478254072953	0.00015632208449780578																								0.029941398281982164	0.017567170837161954																																																			0.028603128729330216	0.06454195722875258	0.0016585391891840368	0.197408103584351	0.056885987822128344	0.42713484495518134																					0.011514455980082279																	0.0077112540462637115			0.0025049660857331315														0.04267211633413274			
CMS002_023a_Rb_S138_L004							0.0390319501606232	0.01212114991840547	0.012716430778073138	0.0064659817515626125																				0.2662342327548161	0.2030728808514569																																									0.19692506645592356	0.21806780043722354	0.027875565773403263																																																																							
CMS002_022a_Rb_S137_L004							0.059216535741315864	0.057507111725865805	0.059608006889892214	0.016063366129916226																				0.15838922671399117	0.05691990500300128																																				0.0007307461440091865	0.0018790615131664796	0.0006002557611504032			0.08022548738157997	0.12824594827361224	0.0																																																																			0.011652791189289349				
CMS001_053_Ra_S8											0.030356512530885987	0.06930227085539475	0.03300388280974232	0.031297799741146014																																																																																																	0.45099423461583715	0.1860807153782798													0.001353100364748794			0.00553006236027768														0.09736439581127192			
CMS001_059_Ra_S10															0.22031904089569246	0.07413737583909241														0.0321889475118278	0.04563919645289936																																									0.05854449976468257	0.0949939312873102	0.0																																																																							
CMS001_044_Ra_S25															0.14839379626838173	0.07242153217432083			0.11481258165008541											0.034401902656349445	0.01353297826014136																																									0.07074665862727364	0.06868656416440559	0.0018088634308109737																																					0.23660938599135764	0.08474860148058821																																	
CMS002_051a_Rb_S6_L004															0.37772026641294004	0.09900666032350143														0.047086584205518554	0.0																																									0.1247954329210276	0.1291569933396765	0.030721217887725975																																					0.06796574690770694	0.02958705994291151																																	
CMS002_054a_Rb_S8_L004															0.6803859640396906	0.24034468180348662																																																																																																																																	
CMS002_057a_Rb_S10_L004															0.4131130426888773	0.09606699498445408																																																								0.1543017951569344	0.28148333068560927	0.0																																																																							
CMS002_056a_Rb_S9_L004															1.7425549340442957e-05	0.0		0.05444090124941189																							0.01350828584871138	0.008918396152438706	0.009998780211546168	0.018251520379179955	0.00423092337985955	0.008712774670221479	0.0010176520814818687	0.0039521145904124625																																																															0.5487340338404169	0.2140798438670779	0.07660271490058725	0.02870336487357764																															
CMS002_044a_Rb_S178_L004																	0.1943502824858757																0.010169491525423728	0.01807909604519774	0.04971751412429379	0.07683615819209039	0.02711864406779661	0.012429378531073447	0.04067796610169491	0.02711864406779661																																							0.17062146892655367	0.07457627118644068	0.05536723163841808																										0.03502824858757062				0.0	0.0																																	
CMS002_044c_Rb_S180_L004																	0.5278450363196125																																																														0.01937046004842615	0.10653753026634383	0.03631961259079903																																																																
CMS002_044b_Rb_S179_L004																	0.7183544303797469																																																																																										0.0189873417721519				0.0	0.0																																	
CMS001_002_Ra_S1																		0.006166571812913907				0.8387087386175497								0.02831707884933775	0.01310275248344371										0.0015327504139072848	0.0006596647350993378	0.0014228062913907284	0.0036863617549668876	0.0007954780629139073	0.0006725993377483443	0.0002328228476821192	0.0005497206125827814																								0.015169055256622517	0.011657310637417219	0.001474544701986755																																					0.02640922495860927	0.011906301738410596																														0.026651748758278145			
CMS001_039_Ra_S9																		0.21670706312088212																							0.02444269962106988	0.015157204792953948	0.025381490458471306	0.03219199126071075	0.012562728296862731	0.018878230293926875	0.004130679684566279	0.009302563752432321																								0.09503977059365719	0.07641757416447616	0.05214556378657017																																			0.07481309527873553		0.2398525244939064	0.09650769808486669																																	
CMS001_029_Ra_S18																			0.20670959469253497											0.3148659196075152	0.2901404917210236																																																																																																																		
CMS002_049a_Rb_S4_L004																			0.24977085889138007																																																					0.29416077950279906	0.2515757857777402	0.2000225615860795																																																																							
CMS001_032_Ra_S7																				0.09946645642727489																					0.023193560807465943	0.014924552171760693	0.01893988009020737	0.023816945050512458	0.007883977191470637	0.007920646852826315	0.0014117819621935791	0.004510368346748317																								0.053959406684879266	0.11208081993362791	0.06730716341834583																																					0.2898186685245962	0.11054069415668946														0.002805229093709319			0.0005317100896573221																
CMS002_020c_Rb_S133_L004																					0.2027250985451523																																														0.13999275890730892	0.2561511042666354	0.2338923932831216																																																																											0.15445964620633035	
CMS002_020b_Rb_S132_L004																					0.0013224994181002558																																														0.12201908631160202	0.2554328276095559	0.2514494593622379																																																		0.2411445438964007	0.1182526079688525													7.405996741361434e-05	0.0002433398929304471										0.00108444952284221	
CMS002_020a_Rb_S131_L004																					0.0872021340985003																																														0.08873396250382957	0.20411426692670387	0.22348255583701346	0.03952864519117966	0.034761296300447594																																																0.013495034634266628	0.006710155648710649																								0.12670836228862636	
CMS001_046_Ra_S3																						0.9438132399385015																																			0.0005217381651467805	0.0006493975034273758	0.0004995365410979813	0.00033302436073198754	0.00034412517275638713	0.0008991657739763663	0.0004884357290735817	0.000749304811646972								0.008092491965787298	0.0005161877591345807	0.0																																					0.014117457692030173	0.006097121004401472																																	
CMS002_039a_Rb_S173_L004																						0.007964167959333052																																																																																									0.7098115057380957	0.2599434584365788																																	
CMS002_034a_Rb_S168_L004																						0.019424767085473034																																																																																									0.7011285444618102	0.2755191101548704																																	
CMS002_045c_Rb_S185_L004																						6.955968718014966e-05											0.005256724931185596	0.006141126668190355	0.008088797909234545	0.009758230401558137	0.007413075233770235	0.0038059085985710454	0.004620750648395656	0.0018483002593582623																																							0.06758220464459969	0.05367026720856975	0.006379617024236582																																				0.5934534397265311	0.23150457603370664																											
CMS002_045g_Rb_S190_L004																						0.0002069386530363074											0.0027936718159901498	0.003476569371009964	0.006311628917607375	0.006021914803356545	0.004676813558620547	0.002586733162953842	0.0034558755057063333	0.0014485705712541518																									0.0034662224383581485	0.0020693865303630737													0.0471923598249299	0.022897761958467412	0.009922708413090939																														0.0	0.0					0.6245098140656202	0.24665018055397478																											
CMS001_060_Ra_S12																							0.7222549281955223						0.01641245205601641																																																																																																																				
CMS001_051_Ra_S8																								0.020901689148134645						0.06734497729758393	0.07026149206243992																																									0.08947292833548758	0.10023310023310024	0.0359372065533203																																					0.33058252963466234	0.15981175222881383																	0.04970227245108762																
