sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,sample_type,nucleotide_type,collection_location,host_genome,notes
CMS_005_A1_S1,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,4102,10512616,65832,0.626,39898,1,69.209,2.81,NA,NA,NA,Mosquito,NA
CMS_005_A2_S9,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,7480,53765830,501784,0.933,3434,1,61.15,3,NA,NA,NA,Mosquito,NA
CMS_005_A3_S17,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,2775,1698100,4824,0.284,1527840,1,22.624,2.87,NA,NA,NA,Mosquito,NA
CMS_005_B1_S2,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3085,4163758,11530,0.277,443484,1,62.055,5.1,NA,NA,NA,Mosquito,NA
CMS_005_B2_S10,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3666,9755810,72458,0.743,672,1,63.779,2.35,NA,NA,NA,Mosquito,NA
CMS_005_B3_S18,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,4985,14363270,536826,3.737,12678,1,69.171,1.46,NA,NA,NA,Mosquito,NA
CMS_005_C1_S3,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,2774,1141254,6818,0.597,270830,1,53.698,1.45,NA,NA,NA,Mosquito,NA
CMS_005_C2_S11,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3855,21298190,109886,0.516,3030,1,57.563,3.14,NA,NA,NA,Mosquito,NA
CMS_005_C3_S19,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3493,8465718,145680,1.721,15704,1,69.343,1.86,NA,NA,NA,Mosquito,NA
CMS_005_D1_S4,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,4982,19898570,88390,0.444,2103688,1,63.221,3.68,NA,NA,NA,Mosquito,NA
CMS_005_D2_S12,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3576,5193736,22848,0.44,220,1,62.321,2.54,NA,NA,NA,Mosquito,NA
CMS_005_D3_S20,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3880,10676062,121934,1.142,49560,1,57.078,1.91,NA,NA,NA,Mosquito,NA
CMS_005_E1_S5,Kalani Ratnasiri,2018-11-22 14:01:43 -0800,COMPLETE,3497,531470,2778,0.523,3710,1,58.536,1.31,NA,NA,NA,Mosquito,NA
