Tube ID# ,Trap Type,Latitude,Longitude,Date collected,Sample_type ,Species,Mosquito_number,Blood Fed?,Notes
Pilot18-001,,,,5/4/18,abdomen,Culex quinquefasciatus,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-002,,,,5/4/18,abdomen,Culex quinquefasciatus,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-003,,,,5/4/18,abdomen,Culex quinquefasciatus,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-004,,,,5/4/18,abdomen,Culex quinquefasciatus,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-005,,,,5/4/18,abdomen,Culex quinquefasciatus,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-006,,,,5/4/18,whole,Culex quinquefasciatus,1,Y,"frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-007,,,,5/4/18,whole,Culex quinquefasciatus,1,Y,"frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-008,,,,5/4/18,whole,Culex quinquefasciatus,1,Y,"frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-009,,,,5/4/18,whole,Culex quinquefasciatus,1,Y,"frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-010,,,,5/4/18,whole,Culex quinquefasciatus,1,Y,"frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-011,,,,5/4/18,aliquot of whole insect homogenate,Culex quinquefasciatus,11,N,"homgenate, white; lab"
Pilot18-012,,,,5/4/18,whole,Culex quinquefasciatus,11,N,";frozen, many mosquitoes, kimwipe; lab"
Pilot18-013,,,,5/4/18,abdomen,Aedes aegypti,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-014,,,,5/4/18,abdomen,Aedes aegypti,1,Y,"mystery virus; homogenate, red; lab"
Pilot18-015,,,,5/4/18,abdomen,Psorophora columbiae,1,Y,"TX13 B073; homgenate, white; wild-caught"
Pilot18-016,,,,5/4/18,abdomen,Aedes aegypti,1,Y,"TX13 B580; homogenate, red; wild-caught"
Pilot18-017,,,,5/4/18,abdomen,Culex quinquefasciatus,1,y,"TX13 B837; homogenate, red; wild-caught"
Pilot18-018,,,,5/4/18,whole,Aedes aegypti,1,y,"frozen, 1 whole mosquito, kimwipe; lab"
Pilot18-019,,,,5/4/18,whole,Aedes aegypti,1,y,"frozen, 1 whole mosquito, kimwipe; lab"
