,cluster,kingdom
786,1,Viruses
5478,2,Viruses
2689,3,Viruses
4262,4,Viruses
4891,5,Viruses
5881,6,Viruses
5236,7,Viruses
4452,8,Viruses
5259,9,Viruses
10,10,Bacteria
3264,11,Viruses
3117,12,Viruses
5116,13,Viruses
6262,15,Viruses
410,16,Viruses
2399,17,Viruses
2653,18,Viruses
2251,20,Viruses
3672,22,Eukaryota
5727,23,Viruses
430,24,Viruses
6278,25,Viruses
3932,27,Viruses
400,28,Viruses
4386,29,Viruses
3877,30,Viruses
846,32,Viruses
4484,36,Bacteria
5244,39,Viruses
6615,40,Bacteria
137,42,Viruses
4416,43,Viruses
310,44,Viruses
2148,45,Viruses
3508,46,Bacteria
1276,47,Eukaryota
6624,49,Viruses
1987,50,Viruses
4006,55,Viruses
3486,56,Viruses
3798,57,Viruses
6289,59,Viruses
5480,60,Viruses
5273,61,Viruses
1651,63,Viruses
507,64,Bacteria
4306,65,Eukaryota
6349,70,Viruses
3639,72,Eukaryota
6745,76,Viruses
6116,77,Eukaryota
5500,78,Viruses
26,79,Bacteria
6338,81,Viruses
1244,82,
4583,86,Eukaryota
4598,88,Eukaryota
1073,98,Viruses
1108,99,Bacteria
4775,100,Eukaryota
545,104,
4616,116,Eukaryota
6377,117,Viruses
5426,118,Eukaryota
1676,126,Eukaryota
4782,128,Viruses
2086,130,Eukaryota
3348,132,
2872,143,Viruses
41,145,Eukaryota
5121,150,Eukaryota
359,160,Eukaryota
443,161,Eukaryota
171,165,Eukaryota
1696,166,Eukaryota
4789,175,Viruses
2141,181,Eukaryota
1554,185,Eukaryota
1100,186,Viruses
6587,223,Bacteria
514,224,Eukaryota
3768,226,Viruses
2966,244,Eukaryota
1844,246,Viruses
3052,253,Viruses
4862,256,Viruses
6303,259,Eukaryota
3775,272,
755,274,
2471,275,Eukaryota
3211,280,Bacteria
6222,282,Viruses
1364,283,Viruses
3644,286,Viruses
72,290,Eukaryota
5154,292,
6046,293,Eukaryota
4693,294,
1818,295,Eukaryota
1892,296,Viruses
503,304,Eukaryota
5828,310,Eukaryota
3962,312,Viruses
6041,313,Viruses
4544,314,Eukaryota
3601,321,Eukaryota
2316,324,Eukaryota
4316,326,Viruses
3480,332,Eukaryota
3330,333,Eukaryota
3455,334,Eukaryota
5812,337,Eukaryota
2769,342,Eukaryota
5159,345,Eukaryota
6767,349,Bacteria
6199,354,Viruses
6368,357,Eukaryota
6309,359,Bacteria
6427,360,Eukaryota
4428,363,Eukaryota
4826,377,Eukaryota
5212,381,
408,387,Eukaryota
2790,389,Eukaryota
5482,397,Eukaryota
343,398,
5444,399,Viruses
2828,400,Bacteria
5672,401,Eukaryota
6692,404,Eukaryota
2296,412,Bacteria
2658,416,Viruses
3001,423,Eukaryota
3115,425,
4586,444,
976,446,Eukaryota
3051,447,Eukaryota
1485,448,Eukaryota
5818,457,Eukaryota
3263,458,Viruses
6387,462,Eukaryota
676,466,Eukaryota
4346,469,Viruses
6677,470,Bacteria
3376,475,Eukaryota
756,479,Eukaryota
856,483,Bacteria
1650,484,Viruses
4297,486,Viruses
4866,489,Eukaryota
2093,490,Eukaryota
2007,491,Viruses
3437,493,Viruses
1080,494,Viruses
3187,499,Viruses
2674,503,Viruses
6265,504,Bacteria
3942,506,Viruses
2908,509,Viruses
4778,514,Eukaryota
5764,515,Viruses
1587,516,Viruses
609,520,Eukaryota
3812,521,Viruses
531,523,Viruses
3765,531,Viruses
3059,541,Bacteria
1241,543,Eukaryota
181,546,Eukaryota
5118,558,Eukaryota
1149,561,Viruses
2142,563,Bacteria
1142,565,Eukaryota
184,566,Eukaryota
233,569,Eukaryota
3969,580,Eukaryota
4993,581,Viruses
459,583,Eukaryota
4563,587,Eukaryota
606,594,Eukaryota
843,596,Eukaryota
6050,598,Bacteria
5803,603,Bacteria
6613,607,Eukaryota
1099,623,Eukaryota
2577,629,Eukaryota
3125,634,Bacteria
1672,635,Eukaryota
5077,636,Eukaryota
3091,643,Bacteria
6026,646,Eukaryota
1127,654,Bacteria
6558,656,Eukaryota
98,664,Eukaryota
5078,668,Viruses
4194,670,Eukaryota
1151,674,Eukaryota
973,682,Eukaryota
3426,685,Eukaryota
5642,688,Eukaryota
2893,695,Eukaryota
5112,696,Bacteria
6076,706,Viruses
419,719,
2992,725,Eukaryota
1255,738,Eukaryota
6628,743,Eukaryota
4837,747,
3254,748,Eukaryota
1623,756,Bacteria
3863,759,Eukaryota
500,760,Eukaryota
2688,762,Eukaryota
5063,763,Viruses
4468,764,Eukaryota
2909,767,Eukaryota
163,768,Eukaryota
1664,772,Eukaryota
3893,773,Eukaryota
4213,776,Eukaryota
6707,778,Eukaryota
4113,786,Eukaryota
1220,788,Eukaryota
6148,796,Eukaryota
5863,800,Eukaryota
4927,811,Eukaryota
4743,813,Eukaryota
5533,814,Eukaryota
4642,818,Bacteria
636,826,Eukaryota
320,827,Eukaryota
6686,831,Eukaryota
14,835,Eukaryota
6412,843,Eukaryota
4040,844,Viruses
5308,848,Eukaryota
1710,862,Viruses
6770,864,Eukaryota
197,865,Eukaryota
1735,872,Eukaryota
2842,875,Bacteria
4224,879,Eukaryota
4771,887,Eukaryota
1122,892,Eukaryota
5055,900,Eukaryota
229,913,Eukaryota
5732,922,
4353,924,Eukaryota
6750,926,Eukaryota
4805,929,Eukaryota
5068,931,Eukaryota
3788,937,Eukaryota
2752,963,Eukaryota
6776,969,Bacteria
1147,977,Eukaryota
346,996,Viruses
4718,1000,Eukaryota
4506,1002,Eukaryota
2960,1005,Viruses
1327,1010,Bacteria
16,1011,Eukaryota
2969,1012,Bacteria
991,1015,Eukaryota
3396,1019,Eukaryota
6399,1033,Bacteria
1478,1037,Eukaryota
3773,1038,Eukaryota
2531,1043,Eukaryota
399,1050,Eukaryota
1200,1054,
3964,1056,Bacteria
3955,1057,Eukaryota
6819,1064,Eukaryota
3392,1067,Eukaryota
5422,1069,Bacteria
2284,1074,Eukaryota
812,1082,Eukaryota
1999,1084,Eukaryota
1092,1089,Eukaryota
5509,1090,Eukaryota
4874,1096,Eukaryota
5983,1099,Eukaryota
3713,1109,Eukaryota
378,1110,Eukaryota
6390,1111,Eukaryota
3070,1113,Eukaryota
3694,1123,Viruses
5404,1124,Viruses
1168,1125,Eukaryota
4390,1128,Eukaryota
953,1129,Eukaryota
2952,1133,Eukaryota
3770,1137,Eukaryota
2113,1142,Eukaryota
5451,1145,Eukaryota
647,1153,Eukaryota
5066,1156,Bacteria
2364,1158,Viruses
5794,1160,Viruses
527,1163,Viruses
1525,1168,Viruses
5048,1170,Viruses
357,1175,Eukaryota
2465,1177,Eukaryota
2597,1181,Viruses
5361,1184,Eukaryota
5913,1185,Eukaryota
3850,1187,Eukaryota
5624,1191,Eukaryota
6545,1192,Eukaryota
937,1202,Eukaryota
3698,1204,Viruses
1141,1208,Eukaryota
1657,1215,Eukaryota
3647,1220,Viruses
4259,1221,Eukaryota
5043,1234,
6759,1243,Eukaryota
3068,1245,Eukaryota
3671,1249,
3126,1252,Eukaryota
4456,1275,Eukaryota
5300,1278,Bacteria
6171,1282,Eukaryota
6642,1288,Eukaryota
3249,1294,Bacteria
6645,1302,Eukaryota
3851,1306,Bacteria
4669,1307,Eukaryota
2163,1312,Eukaryota
4732,1318,Eukaryota
4880,1323,Eukaryota
3936,1324,Eukaryota
4205,1333,Eukaryota
1039,1335,Bacteria
6233,1336,Eukaryota
221,1347,Eukaryota
4377,1350,Eukaryota
2183,1357,Eukaryota
4867,1361,Eukaryota
5887,1370,
3714,1378,Eukaryota
1678,1385,Eukaryota
2062,1392,Viruses
3118,1393,Eukaryota
236,1399,Viruses
1422,1403,Eukaryota
3373,1429,Eukaryota
4856,1438,Viruses
5454,1439,Eukaryota
5046,1444,Viruses
2899,1446,Eukaryota
5306,1451,Eukaryota
4157,1453,Eukaryota
4690,1456,Eukaryota
3491,1458,Eukaryota
