sample	division	ntaxa	location_name	rank	sample_mosquito_species	kingdom
1	CMS001_001_Ra_S1	flies	18	Alameda	no rank	Culex erythrothorax	Arthropoda
2	CMS001_001_Ra_S1	ascomycetes	1	Alameda	infraorder	Culex erythrothorax	Arthropoda
3	CMS001_001_Ra_S1	mosquitos	23	Alameda	genus	Culex erythrothorax	Arthropoda
4	CMS001_001_Ra_S1	bees	2	Alameda	species	Culex erythrothorax	Arthropoda
5	CMS001_001_Ra_S1	roaches	0	Alameda	species	Culex erythrothorax	Arthropoda
6	CMS001_001_Ra_S1	mites & ticks	2	Alameda	species	Culex erythrothorax	Arthropoda
7	CMS001_001_Ra_S1	beetles	6	Alameda	species	Culex erythrothorax	Arthropoda
8	CMS001_001_Ra_S1	moths	5	Alameda	species	Culex erythrothorax	Arthropoda
9	CMS001_001_Ra_S1	butterflies	5	Alameda	species	Culex erythrothorax	Arthropoda
10	CMS001_001_Ra_S1	aphids	5	Alameda	subfamily	Culex erythrothorax	Arthropoda
11	CMS001_001_Ra_S1	spiders	2	Alameda	species	Culex erythrothorax	Arthropoda
12	CMS001_001_Ra_S1	arachnids	0	Alameda	class	Culex erythrothorax	Arthropoda
13	CMS001_001_Ra_S1	ants	15	Alameda	species	Culex erythrothorax	Arthropoda
14	CMS001_001_Ra_S1	crustaceans	0	Alameda	species	Culex erythrothorax	Arthropoda
15	CMS001_001_Ra_S1	arthropods	2	Alameda	phylum	Culex erythrothorax	Arthropoda
16	CMS001_001_Ra_S1	psyllids	1	Alameda	species	Culex erythrothorax	Arthropoda
17	CMS001_001_Ra_S1	horseshoe crabs	0	Alameda	species	Culex erythrothorax	Arthropoda
18	CMS001_001_Ra_S1	scorpions	0	Alameda	species	Culex erythrothorax	Arthropoda
19	CMS001_001_Ra_S1	bugs	2	Alameda	species	Culex erythrothorax	Arthropoda
20	CMS001_001_Ra_S1	fleas	1	Alameda	species	Culex erythrothorax	Arthropoda
21	CMS001_001_Ra_S1	wasps &c.	3	Alameda	subspecies	Culex erythrothorax	Arthropoda
22	CMS001_001_Ra_S1	scale insects	0	Alameda	species	Culex erythrothorax	Arthropoda
23	CMS001_001_Ra_S1	hymenopterans	1	Alameda	species	Culex erythrothorax	Arthropoda
24	CMS001_001_Ra_S1	termites	1	Alameda	species	Culex erythrothorax	Arthropoda
25	CMS001_001_Ra_S1	basidiomycetes	0	Alameda	genus	Culex erythrothorax	Arthropoda
26	CMS001_001_Ra_S1	springtails	0	Alameda	subfamily	Culex erythrothorax	Arthropoda
27	CMS001_001_Ra_S1	insects	2	Alameda	cohort	Culex erythrothorax	Arthropoda
28	CMS001_001_Ra_S1	lice	1	Alameda	subspecies	Culex erythrothorax	Arthropoda
29	CMS001_001_Ra_S1	amphipods	0	Alameda	species	Culex erythrothorax	Arthropoda
30	CMS001_001_Ra_S1	booklice	0	Alameda	species	Culex erythrothorax	Arthropoda
31	CMS001_001_Ra_S1	grasshoppers	0	Alameda	species	Culex erythrothorax	Arthropoda
32	CMS001_001_Ra_S1	caddisflies	0	Alameda	species	Culex erythrothorax	Arthropoda
33	CMS001_001_Ra_S1	whiteflies	0	Alameda	species	Culex erythrothorax	Arthropoda
34	CMS001_001_Ra_S1	thrips	0	Alameda	species	Culex erythrothorax	Arthropoda
35	CMS001_002_Ra_S1	flies	16	Alameda	no rank	Culex tarsalis	Arthropoda
36	CMS001_002_Ra_S1	ascomycetes	0	Alameda	infraorder	Culex tarsalis	Arthropoda
37	CMS001_002_Ra_S1	mosquitos	16	Alameda	genus	Culex tarsalis	Arthropoda
38	CMS001_002_Ra_S1	bees	2	Alameda	species	Culex tarsalis	Arthropoda
39	CMS001_002_Ra_S1	roaches	1	Alameda	species	Culex tarsalis	Arthropoda
40	CMS001_002_Ra_S1	mites & ticks	1	Alameda	species	Culex tarsalis	Arthropoda
41	CMS001_002_Ra_S1	beetles	2	Alameda	species	Culex tarsalis	Arthropoda
42	CMS001_002_Ra_S1	moths	2	Alameda	species	Culex tarsalis	Arthropoda
43	CMS001_002_Ra_S1	butterflies	3	Alameda	species	Culex tarsalis	Arthropoda
44	CMS001_002_Ra_S1	aphids	1	Alameda	subfamily	Culex tarsalis	Arthropoda
45	CMS001_002_Ra_S1	spiders	0	Alameda	species	Culex tarsalis	Arthropoda
46	CMS001_002_Ra_S1	arachnids	0	Alameda	class	Culex tarsalis	Arthropoda
47	CMS001_002_Ra_S1	ants	7	Alameda	species	Culex tarsalis	Arthropoda
48	CMS001_002_Ra_S1	crustaceans	1	Alameda	species	Culex tarsalis	Arthropoda
49	CMS001_002_Ra_S1	arthropods	2	Alameda	phylum	Culex tarsalis	Arthropoda
50	CMS001_002_Ra_S1	psyllids	1	Alameda	species	Culex tarsalis	Arthropoda
51	CMS001_002_Ra_S1	horseshoe crabs	0	Alameda	species	Culex tarsalis	Arthropoda
52	CMS001_002_Ra_S1	scorpions	0	Alameda	species	Culex tarsalis	Arthropoda
53	CMS001_002_Ra_S1	bugs	1	Alameda	species	Culex tarsalis	Arthropoda
54	CMS001_002_Ra_S1	fleas	0	Alameda	species	Culex tarsalis	Arthropoda
55	CMS001_002_Ra_S1	wasps &c.	3	Alameda	subspecies	Culex tarsalis	Arthropoda
56	CMS001_002_Ra_S1	scale insects	0	Alameda	species	Culex tarsalis	Arthropoda
57	CMS001_002_Ra_S1	hymenopterans	0	Alameda	species	Culex tarsalis	Arthropoda
58	CMS001_002_Ra_S1	termites	1	Alameda	species	Culex tarsalis	Arthropoda
59	CMS001_002_Ra_S1	basidiomycetes	0	Alameda	genus	Culex tarsalis	Arthropoda
60	CMS001_002_Ra_S1	springtails	1	Alameda	subfamily	Culex tarsalis	Arthropoda
61	CMS001_002_Ra_S1	insects	3	Alameda	cohort	Culex tarsalis	Arthropoda
62	CMS001_002_Ra_S1	lice	0	Alameda	subspecies	Culex tarsalis	Arthropoda
63	CMS001_002_Ra_S1	amphipods	0	Alameda	species	Culex tarsalis	Arthropoda
64	CMS001_002_Ra_S1	booklice	0	Alameda	species	Culex tarsalis	Arthropoda
65	CMS001_002_Ra_S1	grasshoppers	0	Alameda	species	Culex tarsalis	Arthropoda
66	CMS001_002_Ra_S1	caddisflies	0	Alameda	species	Culex tarsalis	Arthropoda
67	CMS001_002_Ra_S1	whiteflies	1	Alameda	species	Culex tarsalis	Arthropoda
68	CMS001_002_Ra_S1	thrips	0	Alameda	species	Culex tarsalis	Arthropoda
69	CMS001_003_Ra_S2	flies	28	Alameda	no rank	Culiseta particeps	Arthropoda
70	CMS001_003_Ra_S2	ascomycetes	0	Alameda	infraorder	Culiseta particeps	Arthropoda
71	CMS001_003_Ra_S2	mosquitos	33	Alameda	genus	Culiseta particeps	Arthropoda
72	CMS001_003_Ra_S2	bees	3	Alameda	species	Culiseta particeps	Arthropoda
73	CMS001_003_Ra_S2	roaches	1	Alameda	species	Culiseta particeps	Arthropoda
74	CMS001_003_Ra_S2	mites & ticks	2	Alameda	species	Culiseta particeps	Arthropoda
75	CMS001_003_Ra_S2	beetles	9	Alameda	species	Culiseta particeps	Arthropoda
76	CMS001_003_Ra_S2	moths	7	Alameda	species	Culiseta particeps	Arthropoda
77	CMS001_003_Ra_S2	butterflies	5	Alameda	species	Culiseta particeps	Arthropoda
78	CMS001_003_Ra_S2	aphids	3	Alameda	subfamily	Culiseta particeps	Arthropoda
79	CMS001_003_Ra_S2	spiders	5	Alameda	species	Culiseta particeps	Arthropoda
80	CMS001_003_Ra_S2	arachnids	0	Alameda	class	Culiseta particeps	Arthropoda
81	CMS001_003_Ra_S2	ants	13	Alameda	species	Culiseta particeps	Arthropoda
