sci_name,novel,baltimore_group,genome_description,number_of_segments_conventional,n_segments,family,submission_taxid,n_samples,samples
1|Flavi-like,True,IV,single stranded RNA positive sense,1,1,Flaviviridae,38144,3,"['CMS001_002_Ra_S1', 'CMS001_039_Ra_S9', 'CMS002_056a_Rb_S9_L004']"
Astopletus virus,True,V,single stranded RNA negative sense,8,8,Orthomyxoviridae,1566308,2,"['CMS001_027_Ra_S16', 'CMS001_046_Ra_S3']"
Ūsinis virus,True,V,single stranded RNA negative sense,8,8,Orthomyxoviridae,1566308,15,"['CMS002_026a_Rb_S146_L004', 'CMS002_026b_Rb_S147_L004', 'CMS002_026c_Rb_S148_L004', 'CMS002_026d_Rb_S149_L004', 'CMS002_026e_Rb_S150_L004', 'CMS002_044a_Rb_S178_L004', 'CMS002_044d_Rb_S181_L004', 'CMS002_044e_Rb_S182_L004', 'CMS002_045a_Rb_S183_L004', 'CMS002_045b_Rb_S184_L004', 'CMS002_045c_Rb_S185_L004', 'CMS002_045d_Rb_S186_L004', 'CMS002_045e_Rb_S188_L004', 'CMS002_045f_Rb_S189_L004', 'CMS002_045g_Rb_S190_L004']"
Wuhan mosquito virus 6,False,V,single stranded RNA negative sense,8,8,Orthomyxoviridae,1608131,13,"['CMS001_002_Ra_S1', 'CMS001_028_Ra_S17', 'CMS001_032_Ra_S7', 'CMS001_034_Ra_S19', 'CMS001_036_Ra_S20', 'CMS001_038_Ra_S22', 'CMS001_039_Ra_S9', 'CMS001_042_Ra_S23', 'CMS001_043_Ra_S24', 'CMS002_029c_Rb_S161_L004', 'CMS002_029d_Rb_S162_L004', 'CMS002_029e_Rb_S164_L004', 'CMS002_056a_Rb_S9_L004']"
Guadeloupe mosquito quaranja-like virus 1,False,V,single stranded RNA negative sense,8,8,Orthomyxoviridae,2607737,5,"['CMS002_017a_Rb_S122_L004', 'CMS002_017b_Rb_S123_L004', 'CMS002_017c_Rb_S124_L004', 'CMS002_017e_Rb_S126_L004', 'CMS002_018b_Rb_S129_L004']"
Culex flavivirus,False,IV,single stranded RNA positive sense,1,1,Flaviviridae,390844,3,"['CMS001_029_Ra_S18', 'CMS001_044_Ra_S25', 'CMS002_049a_Rb_S4_L004']"
1249|Narna-like,True,IV,single stranded RNA positive sense,1,1,Narnaviridae,908833,1,['CMS001_009_Ra_S13']
Hubei mosquito virus 4,False,IV,single stranded RNA positive sense,1 or 2,1,Tombusviridae,1922928,18,"['CMS001_001_Ra_S1', 'CMS001_015_Ra_S13', 'CMS001_018_Ra_S14', 'CMS001_019_Ra_S14', 'CMS001_020_Ra_S15', 'CMS001_035_Ra_S20', 'CMS001_045_Ra_S2', 'CMS001_047_Ra_S4', 'CMS001_049_Ra_S6', 'CMS001_057_Ra_S11', 'CMS001_058_Ra_S9', 'CMS002_028a_Rb_S154_L004', 'CMS002_028e_Rb_S158_L004', 'CMS002_029c_Rb_S161_L004', 'CMS002_038a_Rb_S172_L004', 'CMS002_047a_Rb_S193_L004', 'CMS002_047c_Rb_S195_L004', 'CMS002_047g_Rb_S200_L004']"
Culex pipiens-associated Tunisia virus,False,IV,single stranded RNA positive sense,1 or more,1,Virgaviridae,2079148,13,"['CMS002_028b_Rb_S155_L004', 'CMS002_028c_Rb_S156_L004', 'CMS002_028d_Rb_S157_L004', 'CMS002_028e_Rb_S158_L004', 'CMS002_047a_Rb_S193_L004', 'CMS002_047b_Rb_S194_L004', 'CMS002_047c_Rb_S195_L004', 'CMS002_047d_Rb_S196_L004', 'CMS002_047e_Rb_S197_L004', 'CMS002_047f_Rb_S198_L004', 'CMS002_047g_Rb_S200_L004', 'CMS002_047h_Rb_S1_L004', 'CMS002_047j_Rb_S3_L004']"
1399|Botourmia-like,True,IV,single stranded RNA positive sense,3,1,Botourmiaviridae,2587553,1,['CMS002_053a_Rb_S7_L004']
1438|Botourmia-like,True,IV,single stranded RNA positive sense,3,1,Botourmiaviridae,2587553,1,['CMS002_053a_Rb_S7_L004']
1479|Botourmia-like,True,IV,single stranded RNA positive sense,3,1,Botourmiaviridae,1629669,1,['CMS002_053a_Rb_S7_L004']
Calbertado virus,False,IV,single stranded RNA positive sense,1,1,Flaviviridae,537023,1,['CMS001_032_Ra_S7']
1636|Partiti-like,True,III,double stranded RNA,2,3,Partitiviridae,37960,10,"['CMS001_008_Ra_S3', 'CMS001_025_Ra_S7', 'CMS002_020a_Rb_S131_L004', 'CMS002_020b_Rb_S132_L004', 'CMS002_020c_Rb_S133_L004', 'CMS002_020d_Rb_S134_L004', 'CMS002_020e_Rb_S135_L004', 'CMS002_021a_Rb_S136_L004', 'CMS002_022a_Rb_S137_L004', 'CMS002_029a_Rb_S159_L004']"
1715|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,1,['CMS001_012_Ra_S4']
19890|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,1,['CMS001_016_Ra_S6']
2|Rhabdo-like,True,V,single stranded RNA negative sense,1,1,Rhabdoviridae,35303,3,"['CMS001_039_Ra_S9', 'CMS002_032a_Rb_S166_L004', 'CMS002_042a_Rb_S177_L004']"
Chimba virus,True,IV,single stranded RNA positive sense,1,1,Leviviridae,12008,1,['CMS001_047_Ra_S4']
22872|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,1,['CMS002_020d_Rb_S134_L004']
Culex iflavi-like virus 4,False,IV,single stranded RNA positive sense,1,1,Iflaviridae,2304480,6,"['CMS001_002_Ra_S1', 'CMS001_046_Ra_S3', 'CMS002_034a_Rb_S168_L004', 'CMS002_039a_Rb_S173_L004', 'CMS002_045c_Rb_S185_L004', 'CMS002_045g_Rb_S190_L004']"
24|Ifla-like,True,IV,single stranded RNA positive sense,1,1,Iflaviridae,1111709,1,['CMS001_060_Ra_S12']
246|Reo-like,True,III,double stranded RNA,10-12,1,Reoviridae,40068,1,['CMS001_012_Ra_S4']
25|Ifla-like,True,IV,single stranded RNA positive sense,1,1,Iflaviridae,1111709,3,"['CMS002_020a_Rb_S131_L004', 'CMS002_020b_Rb_S132_L004', 'CMS002_020c_Rb_S133_L004']"
Lobuck virus,True,III,double stranded RNA,10-12,5,Reoviridae,40068,1,['CMS001_012_Ra_S4']
Culex iflavi-like virus 3,False,IV,single stranded RNA positive sense,1,1,Iflaviridae,2304479,2,"['CMS001_051_Ra_S8', 'CMS002_038a_Rb_S172_L004']"
2923|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,1,['CMS001_005_Ra_S3']
296|Reo-like,True,III,double stranded RNA,10-12,8,Reoviridae,1567403,6,"['CMS001_001_Ra_S1', 'CMS001_020_Ra_S15', 'CMS001_035_Ra_S20', 'CMS001_049_Ra_S6', 'CMS001_056_Ra_S10', 'CMS002_047g_Rb_S200_L004']"
30|Rhabdo-like,True,V,single stranded RNA negative sense,1,1,Rhabdoviridae,35303,2,"['CMS001_031_Ra_S19', 'CMS002_037a_Rb_S171_L004']"
3061|Botourmia-like,True,IV,single stranded RNA positive sense,3,1,Botourmiaviridae,2587553,1,['CMS002_053a_Rb_S7_L004']
3110|Partiti-like,True,III,double stranded RNA,2,2,Partitiviridae,37960,11,"['CMS002_026a_Rb_S146_L004', 'CMS002_026b_Rb_S147_L004', 'CMS002_026c_Rb_S148_L004', 'CMS002_026d_Rb_S149_L004', 'CMS002_026e_Rb_S150_L004', 'CMS002_045a_Rb_S183_L004', 'CMS002_045b_Rb_S184_L004', 'CMS002_045d_Rb_S186_L004', 'CMS002_045e_Rb_S188_L004', 'CMS002_045f_Rb_S189_L004', 'CMS002_045g_Rb_S190_L004']"
312|Tombus-like,True,IV,single stranded RNA positive sense,1 or 2,2,Tombusviridae,137555,4,"['CMS001_006_Ra_S5', 'CMS001_025_Ra_S7', 'CMS001_052_Ra_S7', 'CMS001_058_Ra_S9']"
3256|Partiti-like,True,III,double stranded RNA,2,2,Partitiviridae,37960,2,"['CMS001_003_Ra_S2', 'CMS002_020a_Rb_S131_L004']"
Hubei chryso-like virus 1,False,III,double stranded RNA,4,4,Chrysoviridae,1922855,2,"['CMS002_022a_Rb_S137_L004', 'CMS002_023a_Rb_S138_L004']"
Keturi virus,True,III,double stranded RNA,4,4,Chrysoviridae,2587491,1,['CMS001_053_Ra_S8']
39|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,4,"['CMS001_027_Ra_S16', 'CMS001_032_Ra_S7', 'CMS001_043_Ra_S24', 'CMS001_051_Ra_S8']"
4|Rhabdo-like,True,V,single stranded RNA negative sense,1,1,Rhabdoviridae,35303,4,"['CMS001_015_Ra_S13', 'CMS001_048_Ra_S5', 'CMS002_047a_Rb_S193_L004', 'CMS002_053a_Rb_S7_L004']"
416|Levi-like,True,IV,single stranded RNA positive sense,1,1,Leviviridae,39683,1,['CMS001_026_Ra_S18']
42|Toti-like,True,III,double stranded RNA,1,1,Totiviridae,39756,27,"['CMS001_001_Ra_S1', 'CMS001_007_Ra_S12', 'CMS001_010_Ra_S1', 'CMS001_011_Ra_S4', 'CMS001_013_Ra_S5', 'CMS001_015_Ra_S13', 'CMS001_017_Ra_S6', 'CMS001_018_Ra_S14', 'CMS001_019_Ra_S14', 'CMS001_020_Ra_S15', 'CMS001_021_Ra_S16', 'CMS001_022_Ra_S6', 'CMS001_024_Ra_S15', 'CMS001_035_Ra_S20', 'CMS001_037_Ra_S21', 'CMS001_045_Ra_S2', 'CMS001_048_Ra_S5', 'CMS001_049_Ra_S6', 'CMS001_050_Ra_S23', 'CMS001_052_Ra_S7', 'CMS001_053_Ra_S8', 'CMS001_057_Ra_S11', 'CMS001_058_Ra_S9', 'CMS002_047d_Rb_S196_L004', 'CMS002_047g_Rb_S200_L004', 'CMS002_047j_Rb_S3_L004', 'CMS002_053a_Rb_S7_L004']"
4269|Botourmia-like,True,IV,single stranded RNA positive sense,3,1,Botourmiaviridae,1629669,1,['CMS002_053a_Rb_S7_L004']
Culex bunyavirus 2,False,V,single stranded RNA negative sense,3,2,Peribunyaviridae,2304499,30,"['CMS001_002_Ra_S1', 'CMS001_028_Ra_S17', 'CMS001_030_Ra_S7', 'CMS001_032_Ra_S7', 'CMS001_033_Ra_S8', 'CMS001_034_Ra_S19', 'CMS001_036_Ra_S20', 'CMS001_038_Ra_S22', 'CMS001_039_Ra_S9', 'CMS001_041_Ra_S10', 'CMS001_042_Ra_S23', 'CMS001_043_Ra_S24', 'CMS001_044_Ra_S25', 'CMS001_046_Ra_S3', 'CMS001_051_Ra_S8', 'CMS001_059_Ra_S10', 'CMS002_010a_Rb_S119_L004', 'CMS002_013a_Rb_S120_L004', 'CMS002_022a_Rb_S137_L004', 'CMS002_023a_Rb_S138_L004', 'CMS002_027b_Rb_S153_L004', 'CMS002_029a_Rb_S159_L004', 'CMS002_029b_Rb_S160_L004', 'CMS002_029c_Rb_S161_L004', 'CMS002_029d_Rb_S162_L004', 'CMS002_029e_Rb_S164_L004', 'CMS002_035a_Rb_S169_L004', 'CMS002_049a_Rb_S4_L004', 'CMS002_051a_Rb_S6_L004', 'CMS002_057a_Rb_S10_L004']"
Culex mosquito virus 4,False,V,,,2,Chuviridae,2304484,6,"['CMS001_044_Ra_S25', 'CMS001_059_Ra_S10', 'CMS002_051a_Rb_S6_L004', 'CMS002_054a_Rb_S8_L004', 'CMS002_056a_Rb_S9_L004', 'CMS002_057a_Rb_S10_L004']"
Marma virus,False,IV,single stranded RNA positive sense,1,2,Solemoviridae,2651926,39,"['CMS001_002_Ra_S1', 'CMS001_015_Ra_S13', 'CMS001_021_Ra_S16', 'CMS001_024_Ra_S15', 'CMS001_027_Ra_S16', 'CMS001_028_Ra_S17', 'CMS001_031_Ra_S19', 'CMS001_032_Ra_S7', 'CMS001_033_Ra_S8', 'CMS001_034_Ra_S19', 'CMS001_036_Ra_S20', 'CMS001_038_Ra_S22', 'CMS001_039_Ra_S9', 'CMS001_040_Ra_S21', 'CMS001_042_Ra_S23', 'CMS001_043_Ra_S24', 'CMS001_044_Ra_S25', 'CMS001_046_Ra_S3', 'CMS001_049_Ra_S6', 'CMS001_051_Ra_S8', 'CMS001_053_Ra_S8', 'CMS002_029a_Rb_S159_L004', 'CMS002_029b_Rb_S160_L004', 'CMS002_029c_Rb_S161_L004', 'CMS002_029d_Rb_S162_L004', 'CMS002_029e_Rb_S164_L004', 'CMS002_031a_Rb_S165_L004', 'CMS002_032a_Rb_S166_L004', 'CMS002_033a_Rb_S167_L004', 'CMS002_034a_Rb_S168_L004', 'CMS002_035a_Rb_S169_L004', 'CMS002_036a_Rb_S170_L004', 'CMS002_037a_Rb_S171_L004', 'CMS002_038a_Rb_S172_L004', 'CMS002_039a_Rb_S173_L004', 'CMS002_040a_Rb_S174_L004', 'CMS002_041a_Rb_S176_L004', 'CMS002_051a_Rb_S6_L004', 'CMS002_056a_Rb_S9_L004']"
Culex mosquito virus 6,False,IV,single stranded RNA positive sense,1,2,Solemoviridae,2304486,15,"['CMS001_006_Ra_S5', 'CMS001_017_Ra_S6', 'CMS001_018_Ra_S14', 'CMS001_020_Ra_S15', 'CMS001_021_Ra_S16', 'CMS001_024_Ra_S15', 'CMS001_035_Ra_S20', 'CMS001_048_Ra_S5', 'CMS001_049_Ra_S6', 'CMS001_056_Ra_S10', 'CMS001_057_Ra_S11', 'CMS002_047a_Rb_S193_L004', 'CMS002_047i_Rb_S2_L004', 'CMS002_047j_Rb_S3_L004', 'CMS002_056a_Rb_S9_L004']"
