taxid	taxonomy	CMS001_001_Ra_S1	CMS001_002_Ra_S1	CMS001_003_Ra_S2	CMS001_004_Ra_S2	CMS001_005_Ra_S3	CMS001_006_Ra_S5	CMS001_007_Ra_S12	CMS001_008_Ra_S3	CMS001_009_Ra_S13	CMS001_010_Ra_S1	CMS001_011_Ra_S4	CMS001_012_Ra_S4	CMS001_013_Ra_S5	CMS001_014_Ra_S5	CMS001_015_Ra_S13	CMS001_016_Ra_S6	CMS001_017_Ra_S6	CMS001_018_Ra_S14	CMS001_019_Ra_S14	CMS001_020_Ra_S15	CMS001_021_Ra_S16	CMS001_022_Ra_S6	CMS001_023_Ra_S17	CMS001_024_Ra_S15	CMS001_025_Ra_S7	CMS001_026_Ra_S18	CMS001_027_Ra_S16	CMS001_028_Ra_S17	CMS001_029_Ra_S18	CMS001_030_Ra_S7	CMS001_031_Ra_S19	CMS001_032_Ra_S7	CMS001_033_Ra_S8	CMS001_034_Ra_S19	CMS001_035_Ra_S20	CMS001_036_Ra_S20	CMS001_037_Ra_S21	CMS001_038_Ra_S22	CMS001_039_Ra_S9	CMS001_040_Ra_S21	CMS001_041_Ra_S10	CMS001_042_Ra_S23	CMS001_043_Ra_S24	CMS001_044_Ra_S25	CMS001_045_Ra_S2	CMS001_046_Ra_S3	CMS001_047_Ra_S4	CMS001_048_Ra_S5	CMS001_049_Ra_S6	CMS001_050_Ra_S23	CMS001_051_Ra_S8	CMS001_052_Ra_S7	CMS001_053_Ra_S8	CMS001_054_Ra_S11	CMS001_055_Ra_S9	CMS001_056_Ra_S10	CMS001_057_Ra_S11	CMS001_058_Ra_S9	CMS001_059_Ra_S10	CMS001_060_Ra_S12	CMS001_water2_S24	CMS001_water3_Qiagen_S26	CMS001_water4_Zymo_S27	CMS002_001a_Rb_S116_L004	CMS002_004a_Rb_S117_L004	CMS002_007a_Rb_S118_L004	CMS002_010a_Rb_S119_L004	CMS002_013a_Rb_S120_L004	CMS002_017a_Rb_S122_L004	CMS002_017b_Rb_S123_L004	CMS002_017c_Rb_S124_L004	CMS002_017d_Rb_S125_L004	CMS002_017e_Rb_S126_L004	CMS002_018a_Rb_S128_L004	CMS002_018b_Rb_S129_L004	CMS002_019a_Rb_S130_L004	CMS002_020a_Rb_S131_L004	CMS002_020b_Rb_S132_L004	CMS002_020c_Rb_S133_L004	CMS002_020d_Rb_S134_L004	CMS002_020e_Rb_S135_L004	CMS002_021a_Rb_S136_L004	CMS002_022a_Rb_S137_L004	CMS002_023a_Rb_S138_L004	CMS002_025a_Rb_S140_L004	CMS002_025b_Rb_S141_L004	CMS002_025c_Rb_S142_L004	CMS002_025e_Rb_S144_L004	CMS002_026a_Rb_S146_L004	CMS002_026b_Rb_S147_L004	CMS002_026c_Rb_S148_L004	CMS002_026d_Rb_S149_L004	CMS002_026e_Rb_S150_L004	CMS002_027a_Rb_S152_L004	CMS002_027b_Rb_S153_L004	CMS002_028a_Rb_S154_L004	CMS002_028b_Rb_S155_L004	CMS002_028c_Rb_S156_L004	CMS002_028d_Rb_S157_L004	CMS002_028e_Rb_S158_L004	CMS002_029a_Rb_S159_L004	CMS002_029b_Rb_S160_L004	CMS002_029c_Rb_S161_L004	CMS002_029d_Rb_S162_L004	CMS002_029e_Rb_S164_L004	CMS002_031a_Rb_S165_L004	CMS002_032a_Rb_S166_L004	CMS002_033a_Rb_S167_L004	CMS002_034a_Rb_S168_L004	CMS002_035a_Rb_S169_L004	CMS002_036a_Rb_S170_L004	CMS002_037a_Rb_S171_L004	CMS002_038a_Rb_S172_L004	CMS002_039a_Rb_S173_L004	CMS002_040a_Rb_S174_L004	CMS002_041a_Rb_S176_L004	CMS002_042a_Rb_S177_L004	CMS002_044a_Rb_S178_L004	CMS002_044b_Rb_S179_L004	CMS002_044c_Rb_S180_L004	CMS002_044d_Rb_S181_L004	CMS002_044e_Rb_S182_L004	CMS002_045a_Rb_S183_L004	CMS002_045b_Rb_S184_L004	CMS002_045c_Rb_S185_L004	CMS002_045d_Rb_S186_L004	CMS002_045e_Rb_S188_L004	CMS002_045f_Rb_S189_L004	CMS002_045g_Rb_S190_L004	CMS002_046a_Rb_S191_L004	CMS002_046b_Rb_S192_L004	CMS002_047a_Rb_S193_L004	CMS002_047b_Rb_S194_L004	CMS002_047c_Rb_S195_L004	CMS002_047d_Rb_S196_L004	CMS002_047e_Rb_S197_L004	CMS002_047f_Rb_S198_L004	CMS002_047g_Rb_S200_L004	CMS002_047h_Rb_S1_L004	CMS002_047i_Rb_S2_L004	CMS002_047j_Rb_S3_L004	CMS002_049a_Rb_S4_L004	CMS002_050a_Rb_S5_L004	CMS002_051a_Rb_S6_L004	CMS002_053a_Rb_S7_L004	CMS002_054a_Rb_S8_L004	CMS002_056a_Rb_S9_L004	CMS002_057a_Rb_S10_L004	CMS002_0Water1_Rb_S127_L004	CMS002_0Water2_Rb_S139_L004	CMS002_0Water3_Rb_S151_L004	CMS002_0Water4_Rb_S163_L004	CMS002_0Water5_Rb_S175_L004	CMS002_0Water6_Rb_S187_L004	CMS002_0Water7_Rb_S199_L004
1	root	4198	2460	0	0	4292	907	387	4458	20648	0	1158	0	0	644	0	1091	3628	673	3776	0	0	0	1308	0	4091	1954	53	0	0	0	1638	0	0	0	3759	0	0	634	0	0	0	0	0	181	0	656	0	0	0	145	233	0	0	0	0	433	21242	0	0	659	392	948	1082	0	0	1571	0	0	0	0	0	0	0	0	6	0	4	0	0	738	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1554	0	1290	0	0	4047	1069	0	0	0	0	0	0	0	0	0	0	0	3819	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	1536	0	2181	0	1556	0	0	0	0	0	0	0	0	7334	0	0	0	34	139	23	157	41	0	42
131567	cellular organisms	75884	226	240	3101	708	619	116	438	1557	0	0	95	0	343	0	1391	475	0	102	3	209	0	0	0	427	1601	399	241	36	6474	432	0	0	119	265	5584	0	2490	0	0	4598	2328	0	2436	0	0	56	0	111	529	4378	39	0	752	7	0	57161	145	0	1187	91	190	263	24339	472	1801	506	0	0	0	0	0	0	0	0	0	0	135	0	148	1334	582	0	0	0	0	4	0	0	0	1341	0	0	102	392	0	566	3	627	770	1468	487	8305	598	486	0	9	2796	0	1563	0	0	0	0	4247	1732	5	0	0	0	0	0	0	0	0	0	0	0	0	20789	17255	483	0	815	0	389	0	0	774	0	8	0	0	0	2701	0	0	0	0	17	0	20	92	0	8
2	Bacteria	21772	9	47	76	0	2028	0	4	2926	0	4657	0	3504	22	9	49	30	6228	0	8	13	7	30	0	0	6811	3	3896	173	1016	90	0	8	0	3	41	6	13073	0	9	6	21	0	0	0	5911	9	1425	681	73	11	0	250	0	0	1797	1126	1388	0	91	177	679	1693	125	4	145	0	108	4	5	0	6180	0	0	0	4	67	6	4	1082	7	36	0	27	0	5	0	0	81	5	57	38	14	437	11799	9	0	0	0	26	6886	43	14	3	13	54	116	20	0	12	0	0	1233	21	15	306	1616	0	0	4	0	0	0	0	0	0	0	26	0	0	6	17	0	0	10	26	2049	1426	9	4	14	25	0	0	145	0	14	0	15	12	15	103	8	4	20
203691	Spirochaetes	1362	0	0	0	0	175	0	13	0	0	1176	0	909	0	0	0	4	2119	0	0	0	0	0	0	0	1943	0	1274	0	0	0	0	0	0	0	0	0	2775	0	0	0	0	0	0	0	0	0	357	92	0	0	0	99	0	0	400	553	338	0	6	0	164	0	0	0	0	0	50	0	0	0	1316	0	0	0	0	43	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3157	0	0	0	0	0	3549	0	0	0	0	0	0	0	3	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	53	0	3	0	0	0	0	0	0	0	0
1783272	Terrabacteria group	38	12	58	8	91	78	14	50	18	0	20	3	14	9	3	51	3	3	9	28	19	4	10	30	11	36	42	1013	6	0	35	0	95	28	0	91	13	8	11	0	0	31	0	0	60	14	4	0	70	8	304	12	0	0	0	0	32	12	14	182	71	372	249	12	0	71	0	29	0	0	0	0	3	0	92	7	245	7	22	22	28	82	23653	5	0	3	13	0	0	0	3	24	8	0	18	67	9	7	37	13	462	13	17	34	14	44	43	145	4	27	0	0	73	26	87	12	3	0	0	0	6	6	4	0	0	0	0	3	0	3	0	0	15	13	17	4	24	5	3	19	82	71	0	5824	12612	0	49	0	52	63	47	7	16	4	8
1236	Gammaproteobacteria	26	0	0	0	11	51	0	6	11	4	0	0	9	22	0	252	0	0	0	0	14	3	0	0	4	69	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	3	7	0	3	12	15	0	0	60	0	16	19	4	0	0	12	12	51	0	0	41	0	0	0	0	0	0	187	0	0	0	202	0	0	0	0	18	0	0	0	0	0	0	0	0	0	31	0	0	6	0	3	0	0	0	0	0	0	0	5	10	0	3	0	0	0	0	4	38	0	801	0	0	0	0	0	0	0	4	0	0	0	0	0	0	44	0	5	0	0	0	0	0	0	16	14	0	5	0	65	0	5	0	0	0	12	0	5	0	0
91347	Enterobacterales	22708	42	58	0	0	3	0	0	8207	0	4	18	3	0	6	4	6	0	705	10	8	12	0	0	0	19	0	356	12	0	0	0	11	0	185	10	31	0	0	0	0	17	0	204	3600	0	8226	0	68	5030	0	0	0	0	0	112	5986	27	0	17	7	4	8	0	0	11	0	7	0	0	0	0	0	0	0	0	17	0	0	0	0	26	0	0	0	0	0	0	52	118	457	463	98	0	0	0	10	0	0	13413	263	0	0	0	0	58	12	14	0	112	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	40	0	0	66	4	0	0	0	113	0	31	0	0	0	0	0	0	0	0
135619	Oceanospirillales	40	0	3	0	0	17	0	0	1478	0	0	0	290	3	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	48	372	2215	1319	550	0	0	0	0	0	0	0	15	0	0	0	0	3399	0	0	0	0	0	0	4	0	0	16290	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	4	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28211	Alphaproteobacteria	0	0	227	9	6	8	6	3	458	6	0	135	0	0	28	0	0	15	0	0	4	142	0	3	0	7	157	0	0	0	0	0	0	0	19	6	0	53	0	11	0	4	0	0	14	0	6	3939	6	0	0	0	28	0	0	0	35	4	0	78	124	180	142	0	0	0	0	133	0	0	0	0	0	0	0	0	45	0	0	0	0	485	0	0	0	0	0	0	0	0	23	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	72	0	3	0	0	0	0	5	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4
953	Wolbachia	16	0	13	20376	4	3	0	3	0	5	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2161	16383	0	0	0	0	3	6	0	0	0	0	56985	0	0	6543	0	0	5	0	0	0	0	0	0	31830	0	0	4	0	29522	0	0	223	0	8565	4204	3	7382	16979	0	0	0	0	0	0	0	0	8	0	0	0	0	73	4214	1550	0	0	0	0	2020	1202	1112	2713	3609	5297	24565	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4911	21	40	662	334	0	1163	13867	8205	0	0	0	0	0	0	0	0	0	0	0	2021	6008	20	5992	0	2314	0	0	0	0	0	0	0
