sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,sample_type,nucleotide_type,collection_location,host_genome,notes,water
CMS001_001_Ra_S1,NA,2018-03-25 21:38:09 -0700,COMPLETE,47392,26717044,687714,2.574,6104,1,45.554,1.31,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_10/03/17_Coyotes Hills_HubeiMosquitoVirus4-WenzhouTombusLike11-HubeiVirgaLike2_Providencia_Trypanosome_rodent,FALSE
CMS001_002_Ra_S1,NA,2018-04-15 09:23:02 -0700,COMPLETE,40464,31503742,369628,1.173,3080,1,48.006,1.25,whole,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/21/17_Coyotes Hills_,FALSE
CMS001_003_Ra_S2,NA,2018-03-25 21:38:09 -0700,COMPLETE,39916,27436684,279064,1.017,2214,1,50.479,2.06,whole,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills_Anphevirus-CulexMononegaLike1-CulexMononegaLike2-OtherDivergentMonegaviruses_Acinobacter-Gilliamella-Anaplasma_Trichinella:PlasmodiumOvale_FarmAnimals-Homo?,FALSE
CMS001_004_Ra_S2,NA,2018-04-15 09:23:02 -0700,COMPLETE,34194,35584846,46660,0.131,2586,1,15.904,1.18,whole,RNA,37.715200_-122.194310,Mosquito,Culex pipiens_09/12/17_San Leandro Sewer_,FALSE
CMS001_005_Ra_S3,NA,2018-03-25 21:38:10 -0700,COMPLETE,41964,36030436,414060,1.149,2862,1,37.776,2.07,whole,RNA,37.788860_-122.299030,Mosquito,Culex incidens_09/29/17_Officers Club_EnvironmentaldsRNAvirus-WuhanMosquitoVirus8-ImjinRiver_Acinobacter_Trichinella_FarmAnimals_Homo?,FALSE
CMS001_006_Ra_S5,Kalani Ratnasiri,2018-08-21 14:26:32 -0700,COMPLETE,38510,31771554,114312,0.36,6042,1,56.666,1.39,whole,RNA,37.55697: -122.07938,Mosquito,NA,FALSE
CMS001_007_Ra_S12,NA,2018-03-25 21:38:10 -0700,COMPLETE,32446,20334238,55328,0.272,1314,1,66.02,1.08,whole,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_Trypanosome_Homo?,FALSE
CMS001_008_Ra_S3,NA,2018-04-15 09:23:02 -0700,COMPLETE,39756,39977532,242172,0.606,1790,1,49.979,3.11,whole,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills_,FALSE
CMS001_009_Ra_S13,NA,2018-03-26 17:39:09 -0700,COMPLETE,60904,62306790,813290,1.305,2678,1,84.341,2.28,whole,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills,FALSE
CMS001_010_Ra_S1,NA,2018-04-19 14:22:25 -0700,COMPLETE,34459,10956312,31874,0.291,5356,1,33.875,1.03,whole,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/19/17_Coyotes Hills_,FALSE
