CMS002_026d_Rb_S149_L004|NODE_3_length_2417_cov_14.070085	OrthomyxoRdRp_PF00602_full
CMS002_045f_Rb_S189_L004|NODE_1_length_6613_cov_24.029223	BunyaRdRp_PF04196_full
CMS002_045f_Rb_S189_L004|NODE_2_length_2972_cov_226.122280	PicornaRdRp_PF00680_full,LuteoTotiRotaRdRp_PF02123_full
CMS002_045f_Rb_S189_L004|NODE_4_length_2425_cov_7.017888	OrthomyxoRdRp_PF00602_full
CMS002_045d_Rb_S186_L004|NODE_2_length_3060_cov_2583.644653	PicornaRdRp_PF00680_full,LuteoTotiRotaRdRp_PF02123_full
CMS002_026a_Rb_S146_L004|NODE_1_length_6613_cov_28.957160	BunyaRdRp_PF04196_full
CMS001_042_Ra_S23|NODE_1_length_7464_cov_55.517666	BunyaRdRp_PF04196_full,ArenaRdRp_PF06317_full,OrthomyxoRdRp_PF00602_full
CMS001_042_Ra_S23|NODE_4_length_3148_cov_206.454575	MitoRdRp_PF05919_full
CMS002_029c_Rb_S161_L004|NODE_1_length_7463_cov_99.720688	BunyaRdRp_PF04196_full,ArenaRdRp_PF06317_full,OrthomyxoRdRp_PF00602_full
CMS002_029c_Rb_S161_L004|NODE_2_length_7155_cov_5.347415	LuteoTotiRotaRdRp_PF02123_full,PicornaRdRp_PF00680_full,BromoTobamoTogaRdRp_PF00978_full
CMS002_029c_Rb_S161_L004|NODE_4_length_4950_cov_32.751077	BromoTobamoTogaRdRp_PF00978_full,PicornaRdRp_PF00680_full,LuteoTotiRotaRdRp_PF02123_full
CMS002_029c_Rb_S161_L004|NODE_6_length_3176_cov_879.222007	PicornaRdRp_PF00680_full,LuteoTotiRotaRdRp_PF02123_full
CMS002_029c_Rb_S161_L004|NODE_9_length_2441_cov_36.508037	OrthomyxoRdRp_PF00602_full,BunyaRdRp_PF04196_full
CMS001_050_Ra_S23|NODE_2_length_7350_cov_11.928640	LuteoTotiRotaRdRp_PF02123_full,PicornaRdRp_PF00680_full
CMS001_048_Ra_S5|NODE_1_length_10707_cov_6.003951	BromoTobamoTogaRdRp_PF00978_full,PicornaRdRp_PF00680_full
CMS001_048_Ra_S5|NODE_2_length_8329_cov_3.719583	MononegaRdRp_PF00946_full
CMS001_048_Ra_S5|NODE_3_length_6887_cov_16.627460	BunyaRdRp_PF04196_full
