tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
9605,Homo,"",2,-100,9605,9604,Eukaryota,0,24.0,1340.033,100.0,99.7458,149.708,89.7693634,0.0,13400329.999999998,13.04348,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
9606,Homo sapiens,human,1,9606,9605,9604,Eukaryota,0,24.0,1340.033,100.0,99.7458,149.708,89.7693634,0.0,13400329.999999998,13.04348,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
10088,Mus,"",2,-100,10088,10066,Eukaryota,0,7.0,390.843,100.0,99.9,149.857,90.188118,0.0,3908430.0,3.80435,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
10090,Mus musculus,house mouse,1,10090,10088,10066,Eukaryota,0,7.0,390.843,100.0,99.9,149.857,90.188118,0.0,3908430.0,3.80435,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
9102,Meleagris,"",2,-100,9102,9005,Eukaryota,0,2.0,111.669,100.0,100.0,150.0,90.4814835,0.0,1116690.0,1.08696,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
9103,Meleagris gallopavo,turkey,1,9103,9102,9005,Eukaryota,0,2.0,111.669,100.0,100.0,150.0,90.4814835,0.0,1116690.0,1.08696,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
1920207,Thermothelomyces,"",2,-100,1920207,35718,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,1094467.869,,,99.0,2.0,111.669,99.0,98.0,49.0,18.3999996,0.0,99.0
78579,Thermothelomyces thermophila,"",1,78579,1920207,35718,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,1094467.869,,,99.0,2.0,111.669,99.0,98.0,49.0,18.3999996,0.0,99.0
3515,Alnus,"",2,-100,3515,3514,Eukaryota,0,2.0,111.669,99.0,97.65,150.0,85.682663,0.0,1094467.869,1.08696,0.3185357,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
109069,Alnus rubra,"",1,109069,3515,3514,Eukaryota,0,2.0,111.669,99.0,97.65,150.0,85.682663,0.0,1094467.869,1.08696,0.0003938,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
-200089373,Non-genus-specific reads in family Cytophagaceae,,2,-100,-200089373,89373,Bacteria,0,2.0,111.669,99.0,97.0,101.0,52.9208183,0.0,1094467.869,1.08696,0.0686233,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
169966,uncultured Hymenobacter group bacterium,"",1,169966,-200089373,89373,Bacteria,0,2.0,111.669,99.0,97.0,101.0,52.9208183,0.0,1094467.869,1.08696,0.0613354,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
35719,Thielavia,"",2,-100,35719,35718,Eukaryota,0,2.0,111.669,92.5346307,98.7,150.0,87.7447281,0.0,1022991.7178881917,1.08696,0.4058152,92.5346307,0,0,-100,0.0,0.0,0.0,0.0,92.5346307
35720,Thielavia terrestris,"",1,35720,35719,35718,Eukaryota,0,2.0,111.669,99.0,98.7,150.0,87.7447281,0.0,1022991.7178881917,1.08696,0.3135677,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
4527,Oryza,"",2,-100,4527,4479,Eukaryota,0,6.0,335.008,40.4159654,99.8833,150.0,90.2534866,0.0,564117.349003543,3.26087,3.4162056,40.4159654,0,0,-100,0.0,0.0,0.0,0.0,40.4159654
4530,Oryza sativa,rice,1,4530,4527,4479,Eukaryota,0,6.0,335.008,41.6640344,99.8833,150.0,90.2534866,0.0,564117.349003543,3.26087,3.3334777,41.6640344,0,0,-100,0.0,0.0,0.0,0.0,41.6640344
447237,Frondihabitans,"",2,-100,447237,85023,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,547229.034,,,99.0,1.0,55.834,99.0,98.0,49.0,18.7000008,0.0,99.0
1795630,Frondihabitans sp. PAMC 28766,"",1,1795630,447237,85023,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,547229.034,,,99.0,1.0,55.834,99.0,98.0,49.0,18.7000008,0.0,99.0
16718,Juglans,walnuts,2,-100,16718,16714,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,547229.034,,,99.0,1.0,55.834,99.0,98.0,49.0,16.0,0.0,99.0
51240,Juglans regia,English walnut,1,51240,16718,16714,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,547229.034,,,99.0,1.0,55.834,99.0,98.0,49.0,16.0,0.0,99.0
281472,Jiangella,"",2,-100,281472,1217100,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,511376.9905252602,,,92.5139547,1.0,55.834,92.5139547,67.3,49.0,8.8000002,0.0,92.5139547
561176,Jiangella alba,"",1,561176,281472,1217100,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,511376.9905252602,,,99.0,1.0,55.834,99.0,67.3,49.0,8.8000002,0.0,99.0
83681,Nonomuraea,"",2,-100,83681,2004,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,370025.86030814,,,66.2724971,1.0,55.834,66.2724971,64.6,48.0,7.8000002,0.0,66.2724971
2070368,Nonomuraea sp. KC333,"",1,2070368,83681,2004,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,370025.86030814,,,100.0,1.0,55.834,100.0,64.6,48.0,7.8000002,0.0,100.0
255204,Pseudoclavibacter,"",2,-100,255204,85023,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,214591.26508991822,,,38.8220177,1.0,55.834,38.8220177,95.8,48.0,17.0,0.0,38.8220177
2080575,Pseudoclavibacter sp. RFBG4,"",1,2080575,255204,85023,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,214591.26508991822,,,99.0,1.0,55.834,99.0,95.8,48.0,17.0,0.0,99.0
620,Shigella,"",2,-100,620,543,Bacteria,0,1.0,55.834,36.8014778,99.3,147.0,87.0654984,0.0,203422.59743703483,0.54348,0.8258939,36.8014778,0,0,-100,0.0,0.0,0.0,0.0,36.8014778
623,Shigella flexneri,"",1,623,620,543,Bacteria,0,1.0,55.834,99.0,99.3,147.0,87.0654984,0.0,203422.59743703483,0.54348,0.2203991,99.0,0,0,-100,0.0,0.0,0.0,0.0,99.0
1177,Nostoc,"",2,-100,1177,1162,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,197583.33992059532,,,29.4368486,2.0,111.669,29.4368486,76.8,49.5,11.4499998,0.0,29.4368486
92942,Nostoc linckia,"",1,92942,1177,1162,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,197583.33992059532,,,60.1071839,2.0,111.669,60.1071839,76.8,49.5,11.4499998,0.0,60.1071839
2071980,Pararheinheimera,"",2,-100,2071980,1046,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,138534.2738213447,,,44.0180161,1.0,55.834,44.0180161,98.0,50.0,18.2999992,0.0,44.0180161
1547515,Pararheinheimera mesophila,"",1,1547515,2071980,1046,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,138534.2738213447,,,56.3674029,1.0,55.834,56.3674029,98.0,50.0,18.2999992,0.0,56.3674029
528,Ochrobactrum,"",2,-100,528,118882,Bacteria,0,2.0,111.669,0.7636662,100.0,150.0,90.4814835,0.0,125164.32057021421,1.08696,22.9529228,11.3217282,2.0,111.669,11.3217282,97.7,43.5,14.75,0.0,11.3217282
255457,Ochrobactrum lupini,"",1,255457,528,118882,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,125164.32057021421,,,99.0,2.0,111.669,99.0,97.7,43.5,14.75,0.0,99.0
529,Ochrobactrum anthropi,"",1,529,528,118882,Bacteria,0,2.0,111.669,0.7920483,100.0,150.0,90.4814835,0.0,67.54416890285248,1.08696,21.1464424,0.7920483,0,0,-100,0.0,0.0,0.0,0.0,0.7920483
33877,Agromyces,"",2,-100,33877,85023,Bacteria,0,2.0,111.669,21.2474871,86.8,148.0,62.3593712,0.0,122097.41773939459,1.08696,2.2883296,21.2474871,0,0,-100,0.0,0.0,0.0,0.0,21.2474871
589382,Agromyces flavus,"",1,589382,33877,85023,Bacteria,0,2.0,111.669,51.4595848,86.8,148.0,62.3593712,0.0,122097.41773939459,1.08696,0.7717314,51.4595848,0,0,-100,0.0,0.0,0.0,0.0,51.4595848
216851,Faecalibacterium,"",2,-100,216851,541000,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,107654.30284889814,,,29.2087787,2.0,111.669,29.2087787,78.75,49.5,11.1499996,0.0,29.2087787
853,Faecalibacterium prausnitzii,"",1,853,216851,541000,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,107654.30284889814,,,33.0054279,2.0,111.669,33.0054279,78.75,49.5,11.1499996,0.0,33.0054279
