tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
9605,Homo,"",2,-100,9605,9604,Eukaryota,0,8.0,0.101,100.0,98.725,144.25,84.328331,0.0,1010.0000000000001,1.2945,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
9606,Homo sapiens,human,1,9606,9605,9604,Eukaryota,0,8.0,0.101,100.0,98.725,144.25,84.328331,0.0,1010.0000000000001,1.2945,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
10088,Mus,"",2,-100,10088,10066,Eukaryota,0,7.0,0.088,100.0,100.0,149.857,90.3835449,0.0,880.0,1.13269,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
10090,Mus musculus,house mouse,1,10090,10088,10066,Eukaryota,0,7.0,0.088,100.0,100.0,149.857,90.3835449,0.0,880.0,1.13269,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
43395,Adrama,"",2,-100,43395,7211,Eukaryota,0,4.0,0.05,100.0,100.0,150.0,90.4814835,0.0,500.0,0.64725,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
166493,Adrama apicalis,"",1,166493,43395,7211,Eukaryota,0,4.0,0.05,100.0,100.0,150.0,90.4814835,0.0,500.0,0.64725,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
109935,Cladochytrium,"",2,-100,109935,109915,Eukaryota,0,2.0,0.025,100.0,81.85,91.0,27.5774517,0.0,250.0,0.32362,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
109936,Cladochytrium replicatum,"",1,109936,109935,109915,Eukaryota,0,2.0,0.025,100.0,81.85,91.0,27.5774517,0.0,250.0,0.32362,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
39173,Ocimum,basils,2,-100,39173,4136,Eukaryota,0,2.0,0.025,100.0,100.0,150.0,90.4814835,0.0,250.0,0.32362,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
39350,Ocimum basilicum,sweet basil,1,39350,39173,4136,Eukaryota,0,2.0,0.025,100.0,100.0,150.0,90.4814835,0.0,250.0,0.32362,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
9394,Tupaia,"",2,-100,9394,9393,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,250.0,,,100.0,2.0,0.025,100.0,90.6,32.0,6.9000001,0.0,100.0
246437,Tupaia chinensis,Chinese tree shrew,1,246437,9394,9393,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,250.0,,,100.0,2.0,0.025,100.0,90.6,32.0,6.9000001,0.0,100.0
40336,Mucuna,"",2,-100,40336,3803,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,100.0,49.0,20.8999996,0.0,100.0
157652,Mucuna pruriens,"",1,157652,40336,3803,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,100.0,49.0,20.8999996,0.0,100.0
9836,Camelus,"",2,-100,9836,9835,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,100.0,49.0,19.2000008,0.0,100.0
419612,Camelus ferus,Wild Bactrian camel,1,419612,9836,9835,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,100.0,49.0,19.2000008,0.0,100.0
9766,Balaenoptera,"",2,-100,9766,9765,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,100.0,49.0,18.8999996,0.0,100.0
9767,Balaenoptera acutorostrata,minke whale,1,9767,9766,9765,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,100.0,49.0,18.8999996,0.0,100.0
9596,Pan,chimpanzees,2,-100,9596,9604,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,77.6,49.0,11.3000002,0.0,100.0
9598,Pan troglodytes,chimpanzee,1,9598,9596,9604,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,77.6,49.0,11.3000002,0.0,100.0
9539,Macaca,macaques,2,-100,9539,9527,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,73.5,49.0,10.6000004,0.0,100.0
9541,Macaca fascicularis,crab-eating macaque,1,9541,9539,9527,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,73.5,49.0,10.6000004,0.0,100.0
1121,Aphanothece,"",2,-100,1121,1890450,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,120.0,,,100.0,1.0,0.012,100.0,93.9,49.0,17.8999996,0.0,100.0
