collection_lat	collection_long	sci_name	bulk_abundance	infected_mosquitos	num_mosquitos	prevalence	mosquito_id	read_prop	in_panel_B	mosquito_species	round(collection_lat, 2)	sample
33.93778	-117.63	4|Rhabdo-like	0.03943545611015491	1	10	0.1	NA	NA	"NA"	Culex erythrothorax	33.94	CMS00NA
33.93778	-117.63	76|Phasma-like	0.03372673800142138	3	10	0.3	NA	NA	"NA"	Culex erythrothorax	33.94	CMS00NA
33.93778	-117.63	Culex mosquito virus 6	0.03577471855889876	2	10	0.2	NA	NA	"NA"	Culex erythrothorax	33.94	CMS00NA
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	1	0.16666666666666666	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047g
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	2	0.04838686163311125	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047b
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	3	0.034664371772805506	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047j
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	4	0	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047c
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	5	0	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047f
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	6	0	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047h
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	7	0	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047a
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	8	0	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047i
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	9	0	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047d
33.93778	-117.63	Culex narnavirus 1	0.08323930002419447	3	10	0.3	10	0	Culex narnavirus 1	Culex erythrothorax	33.94	CMS002_047e
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	1	0.3147904388667843	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047g
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	2	0.15698917590809483	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047b
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	3	0.09341332205910224	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047j
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	4	0.08719525162886917	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047c
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	5	0.08456816729337277	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047f
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	6	0.08169363166953528	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047h
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	7	0.05373930886168355	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047a
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	8	0.046049445167956435	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047i
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	9	0.038052883647925306	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047d
33.93778	-117.63	Culex pipiens-associated Tunisia virus	0.10627684723370265	9	10	0.9	10	0	Culex pipiens-associated Tunisia virus	Culex erythrothorax	33.94	CMS002_047e
33.93778	-117.63	Hubei virga-like virus 2	0.12191031354626285	6	10	0.6	NA	NA	"NA"	Culex erythrothorax	33.94	CMS00NA
37.55697	-122.08	128|Tombus-like	0.17227785094827364	7	18	0.3888888888888889	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	296|Reo-like	0.00913360606161881	3	18	0.16666666666666666	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	312|Tombus-like	8.835467842396249e-4	1	18	0.05555555555555555	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	42|Toti-like	0.009892087806302016	3	18	0.16666666666666666	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	55|Toti-like	0.0024931765693890404	1	18	0.05555555555555555	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	63|Phenui-like	0.04101898467631943	6	18	0.3333333333333333	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	6823|Peribunya-like	4.653097072329486e-5	1	18	0.05555555555555555	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	76|Phasma-like	0.013690444900674368	5	18	0.2777777777777778	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	88|Tombus-like	0.0015516776108662408	1	18	0.05555555555555555	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	Culex mosquito virus 6	0.006611932869149403	7	18	0.3888888888888889	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	Culex narnavirus 1	0.04746451245852391	9	18	0.5	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	Hubei virga-like virus 2	0.03494109627658533	13	18	0.7222222222222222	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	Kellev virus	0.06584913522801059	3	18	0.16666666666666666	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
37.55697	-122.08	Keturi virus	0.02463198394111743	1	18	0.05555555555555555	NA	NA	"NA"	Culex erythrothorax	37.56	CMS00NA
