CMS001_006,NODE_2353_length_344_cov_0.820225
CMS001_004,NODE_17_length_847_cov_664.774026
CMS001_002,NODE_113_length_849_cov_354.167098
CMS001_029,NODE_378_length_280_cov_0.975369
CMS001_029,NODE_17_length_929_cov_1383.575117
CMS001_029,NODE_621_length_258_cov_1.276243
CMS001_028,NODE_84_length_844_cov_110.650587
CMS001_018,NODE_89_length_867_cov_73.853165
CMS001_030,NODE_683_length_251_cov_1.534483
CMS001_034,NODE_63_length_848_cov_857.382620
CMS001_030,NODE_21_length_850_cov_581.238034
CMS001_035,NODE_4823_length_248_cov_1.456140
CMS001_019,NODE_57_length_857_cov_981.561538
CMS001_038,NODE_84_length_841_cov_53.701571
CMS001_011,NODE_110_length_856_cov_927.621309
CMS001_022,NODE_89_length_850_cov_343.213454
CMS001_023,NODE_47_length_850_cov_873.333765
CMS001_040,NODE_2029_length_228_cov_1.509934
CMS001_041,NODE_35_length_857_cov_296.325641
CMS001_042,NODE_140_length_845_cov_333.809896
CMS001_040,NODE_63_length_851_cov_411.014212
CMS001_044,NODE_26_length_846_cov_71.460338
CMS001_035,NODE_231_length_852_cov_414.313548
CMS001_051,NODE_4190_length_274_cov_1.441624
CMS001_036,NODE_396_length_844_cov_209.842243
CMS001_051,NODE_4802_length_265_cov_1.292553
CMS001_054,NODE_8_length_844_cov_88.254237
CMS001_051,NODE_5053_length_262_cov_1.448649
CMS001_037,NODE_169_length_843_cov_300.668407
CMS001_water3_Qiagen_S26,NODE_61_length_832_cov_13.021192
CMS001_051,NODE_158_length_854_cov_462.212355
CMS001_059,NODE_29_length_844_cov_271.877445
CMS002_001a,NODE_29_length_845_cov_1740.710938
CMS002_001a,NODE_817_length_125_cov_1138.541667
CMS002_001a,NODE_814_length_155_cov_1333.756410
CMS001_058,NODE_169_length_847_cov_63.862338
CMS002_001a,NODE_816_length_155_cov_408.076923
CMS002_001a,NODE_818_length_107_cov_1088.300000
CMS002_001a,NODE_819_length_107_cov_30.000000
CMS002_001a,NODE_820_length_107_cov_22.166667
CMS002_025c,NODE_161_length_241_cov_0.890244
CMS001_045,NODE_99_length_933_cov_99.811916
CMS002_001a,NODE_822_length_100_cov_496.869565
CMS002_022a,NODE_54_length_853_cov_389.385309
CMS002_023a,NODE_21_length_930_cov_1606.478312
CMS002_028a,NODE_391_length_618_cov_3.253235
CMS002_028b,NODE_1870_length_340_cov_0.752852
CMS002_027b,NODE_72_length_867_cov_3470.868354
CMS001_048,NODE_62_length_840_cov_152.897772
CMS002_027a,NODE_10_length_844_cov_580.211213
CMS001_047,NODE_51_length_853_cov_311.988402
CMS002_036a,NODE_5464_length_249_cov_1.017442
CMS002_028c,NODE_2910_length_291_cov_1.014019
CMS002_036a,NODE_7279_length_232_cov_0.954839
CMS002_040a,NODE_4434_length_256_cov_0.815642
CMS002_028e,NODE_243_length_957_cov_2547.032955
CMS002_046b,NODE_82_length_866_cov_1949.740177
CMS002_046a,NODE_45_length_858_cov_1681.380282
CMS002_029c,NODE_112_length_860_cov_501.581098
CMS002_029d,NODE_152_length_873_cov_2483.567839
CMS002_031a,NODE_272_length_843_cov_10.262402
CMS001_052,NODE_57_length_849_cov_315.133420
CMS002_047f,NODE_182_length_874_cov_562.268507
CMS002_047j,NODE_187_length_899_cov_2069.181265
CMS002_047e,NODE_4328_length_252_cov_0.834286
CMS002_038a,NODE_1364_length_503_cov_3.741784
CMS002_056a,NODE_7148_length_251_cov_0.839080
CMS002_047a,NODE_191_length_864_cov_437.842440
CMS002_028d,NODE_38_length_1409_cov_2360.945195
CMS002_053a,NODE_1433_length_860_cov_793.026820
